,type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
18,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",2021-09-22,2021,94 min,Thrillers,1
19,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",2021-09-22,2021,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",3
20,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,2021-09-22,2021,1 Season,"Crime TV Shows, Docuseries, International TV Shows",3
21,TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",2021-09-22,2018,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",3
22,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",2021-09-21,1996,161 min,"Comedies, International Movies",2
23,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",2021-09-21,2021,61 min,Children & Family Movies,1
24,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",2021-09-21,1998,166 min,"Comedies, International Movies, Romantic Movies",3
25,TV Show,Love on the Spectrum,,Brooke Satchwell,2021-09-21,2021,2 Seasons,"Docuseries, International TV Shows, Reality TV",3
26,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",2021-09-21,1997,147 min,"Comedies, International Movies, Music & Musicals",3
27,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",2021-09-20,2010,103 min,Comedies,1
28,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",2021-09-19,2013,97 min,"Horror Movies, Sci-Fi & Fantasy",2
29,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan",2021-09-19,2013,106 min,Thrillers,1
30,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",2021-09-17,2021,111 min,"Dramas, Independent Movies, International Movies",3
31,TV Show,Chicago Party Aunt,,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",2021-09-17,2021,1 Season,TV Comedies,1
32,TV Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",2021-09-17,2020,3 Seasons,"British TV Shows, International TV Shows, TV Comedies",3
33,TV Show,Squid Game,,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",2021-09-17,2021,1 Season,"International TV Shows, TV Dramas, TV Thrillers",3
34,TV Show,Tayo and Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",2021-09-17,2020,1 Season,Kids' TV,1
35,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",2021-09-17,2021,110 min,"Dramas, International Movies, Thrillers",3
36,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",2021-09-17,2021,105 min,"Action & Adventure, Dramas, International Movies",3
37,TV Show,Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",2021-09-16,2018,1 Season,"Kids' TV, TV Comedies",2
38,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia",2021-09-16,2017,96 min,"Action & Adventure, Dramas",2
39,TV Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",2021-09-16,2021,3 Seasons,Kids' TV,1
40,TV Show,He-Man and the Masters of the Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",2021-09-16,2021,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",2
41,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",2021-09-16,1975,124 min,"Action & Adventure, Classic Movies, Dramas",3
42,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",2021-09-16,1978,116 min,"Dramas, Horror Movies, Thrillers",3
43,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",2021-09-16,1983,98 min,"Action & Adventure, Horror Movies, Thrillers",3
44,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",2021-09-16,1987,91 min,"Action & Adventure, Horror Movies, Thrillers",3
45,Movie,My Heroes Were Cowboys,Tyler Greco,,2021-09-16,2021,23 min,Documentaries,1
46,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",2021-09-16,2012,115 min,Action & Adventure,1
47,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",2021-09-16,2020,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",3
48,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",2021-09-16,2001,122 min,"Dramas, Thrillers",2
49,TV Show,Castle and Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",2021-09-15,2021,2 Seasons,"International TV Shows, TV Dramas",2
50,TV Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai",2021-09-15,2014,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",3
51,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",2021-09-15,2002,99 min,"Action & Adventure, Anime Features, International Movies",3
52,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",2021-09-15,2003,99 min,"Action & Adventure, Anime Features, International Movies",3
53,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",2021-09-15,2004,88 min,"Action & Adventure, Anime Features, International Movies",3
54,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",2021-09-15,2001,100 min,"Action & Adventure, Anime Features, International Movies",3
55,TV Show,Nailed It,,"Nicole Byer, Jacques Torres",2021-09-15,2021,6 Seasons,Reality TV,1
56,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",2021-09-15,2011,102 min,"Action & Adventure, Anime Features, International Movies",3
57,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",2021-09-15,2008,93 min,"Action & Adventure, Anime Features, International Movies",3
58,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",2021-09-15,2009,96 min,"Action & Adventure, Anime Features, International Movies",3
59,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",2021-09-15,2007,95 min,"Action & Adventure, Anime Features, International Movies",3
60,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",2021-09-15,2010,85 min,"Action & Adventure, Anime Features, International Movies",3
61,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",2021-09-15,2005,97 min,"Action & Adventure, Anime Features, International Movies",3
62,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",2021-09-15,2006,95 min,"Action & Adventure, Anime Features, International Movies",3
63,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",2021-09-15,2004,83 min,"Action & Adventure, Anime Features, International Movies",3
64,Movie,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",2021-09-15,2021,103 min,Children & Family Movies,1
65,TV Show,Numberblocks,,"Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher",2021-09-15,2021,6 Seasons,Kids' TV,1
66,TV Show,Raja Rasoi Aur Anya Kahaniyan,,,2021-09-15,2014,1 Season,"Docuseries, International TV Shows",2
67,TV Show,Saved by the Bell,,"Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins",2021-09-15,1994,9 Seasons,"Kids' TV, TV Comedies",2
68,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,2021-09-15,2021,113 min,"Documentaries, International Movies, Sports Movies",3
69,TV Show,Stories by Rabindranath Tagore,,,2021-09-15,2015,1 Season,"International TV Shows, TV Dramas",2
70,TV Show,Too Hot To Handle: Latino,,Itatí Cantoral,2021-09-15,2021,1 Season,"International TV Shows, Reality TV, Romantic TV Shows",3
71,Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",2021-09-14,2021,13 min,Children & Family Movies,1
72,TV Show,Jack Whitehall: Travels with My Father,,"Jack Whitehall, Michael Whitehall",2021-09-14,2021,5 Seasons,"British TV Shows, Docuseries, International TV Shows",3
73,Movie,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",2021-09-14,2018,182 min,"Dramas, International Movies",2
74,TV Show,The World's Most Amazing Vacation Rentals,,,2021-09-14,2021,2 Seasons,Reality TV,1
75,Movie,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",2021-09-14,2021,106 min,Children & Family Movies,1
76,TV Show,Yowamushi Pedal,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",2021-09-14,2013,1 Season,"Anime Series, International TV Shows",2
77,Movie,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",2021-09-11,2021,48 min,"Children & Family Movies, Comedies",2
78,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",2021-09-11,2020,145 min,"Comedies, Dramas, International Movies",3
79,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",2021-09-11,2021,145 min,"Comedies, Dramas, International Movies",3
80,Movie,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",2021-09-10,2021,93 min,Children & Family Movies,1
81,Movie,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",2021-09-10,2021,106 min,Action & Adventure,1
82,TV Show,Lucifer,,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis",2021-09-10,2021,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas",3
83,TV Show,Metal Shop Masters,,Jo Koy,2021-09-10,2021,1 Season,Reality TV,1
84,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",2021-09-10,2020,147 min,"Action & Adventure, Comedies, Dramas",3
85,TV Show,Pokémon Master Journeys: The Series,,"Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands",2021-09-10,2021,1 Season,"Anime Series, Kids' TV",2
86,Movie,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",2021-09-10,2021,87 min,"International Movies, Thrillers",2
87,TV Show,Titipo Titipo,,"Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun",2021-09-10,2019,2 Seasons,"Kids' TV, Korean TV Shows",2
88,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",2021-09-09,2021,96 min,"Documentaries, Sports Movies",2
89,TV Show,Mighty Raju,,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",2021-09-09,2017,4 Seasons,Kids' TV,1
90,Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath",2021-09-09,2019,95 min,"Sci-Fi & Fantasy, Thrillers",2
91,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,2021-09-09,2021,92 min,"Documentaries, International Movies",2
92,TV Show,Into the Night,,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",2021-09-08,2021,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",3
93,Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",2021-09-08,2021,91 min,"Dramas, International Movies, Romantic Movies",3
94,Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale",2021-09-08,2018,90 min,"Children & Family Movies, Comedies",2
95,TV Show,The Circle,,Michelle Buteau,2021-09-08,2021,3 Seasons,Reality TV,1
96,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",2021-09-07,2018,97 min,"Documentaries, Music & Musicals",2
97,TV Show,Kid Cosmic,,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",2021-09-07,2021,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",3
98,TV Show,Octonauts: Above & Beyond,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",2021-09-07,2021,1 Season,"British TV Shows, Kids' TV",2
99,TV Show,On the Verge,,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi",2021-09-07,2021,1 Season,"TV Comedies, TV Dramas",2
100,TV Show,Tobot Galaxy Detectives,,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",2021-09-07,2019,2 Seasons,Kids' TV,1
101,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",,2021-09-07,2021,80 min,"Documentaries, Sports Movies",2
102,TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,2021-09-06,2021,1 Season,"Docuseries, Science & Nature TV",2
103,Movie,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",2021-09-06,2020,117 min,"Dramas, International Movies, Thrillers",3
104,TV Show,Tayo the Little Bus,,"Robyn Slade, Kami Desilets",2021-09-06,2016,2 Seasons,"Kids' TV, Korean TV Shows",2
