,Before 2000,After 2000
Netflix,5.963875951380211,94.03612404861978
Disney Plus,26.26123013130615,73.73876986869385
Amazon Prime,17.51152073732719,82.48847926267281
Hulu,7.598903251077164,92.40109674892284
