Director,Appearances
Alonso Ramirez Ramos,2
 Dave Wasson,2
John Cherry,1
Karen Disher,1
Hamish Hamilton,2
Liz Garbus,1
Kirk R. Thatcher,1
John Gleim,1
Leslie Iwerks,1
McKenna Harris,1
Kevin Lima,4
Patrick Osborne,1
Chris Buck,3
 Jennifer Lee,3
Lauren MacMullan,1
Dan Mazer,1
Jaume Collet-Serra,1
John Kahrs,1
Destin Daniel Cretton,1
Manjari Makijany,1
Nathan Greno,3
 Byron Howard,3
Stevie Wermers-Skelton,2
 Kevin Deters,2
Roger Allers,1
David Clair,1
David Silverman,5
Dean Wellins,1
Mike Mitchell,2
Brian Levant,1
Alex Zamm,4
Kevin Deters,3
 Stevie Wermers-Skelton,3
Robert Vince,8
Matthew Vaughn,1
Niki Caro,2
Daniel Stern,1
Don Bluth,3
 Gary Goldman,2
Jim Greayer,1
Ben Crichton,1
Jeff Gordon,1
Kirk Thatcher,1
Dave Hoffman,1
Cate Shortland,1
John Hoffman,1
 Janet Tobias,1
Tim Hill,3
Walt Becker,1
Ken Cunningham,2
Robert Stromberg,1
 Eddie Trigueros,1
Jason Sterman,1
 Leanne Dare,1
Josh Boone,1
P.J. Hogan,1
Salvador Simó,1
Jay Hatcher,1
Katie Bauer Murdock,2
Louis Gonzales,1
Rob Marshall,4
Aphton Corbin,1
Robert Rodriguez,1
 Patrick Osborne,1
Simon Kinberg,1
Craig Gillespie,2
Peter Hedges,2
Napoleon Dumo,1
Drew Pearce,1
Frederik Du Chau,1
Stefen Fangmeier,1
Tim Story,2
Bryan Singer,4
Lev L. Spiro,2
Chris Columbus,5
Mark J Davis,1
Peter Hewitt,2
Carlos Saldanha,4
Phil Stebbing,1
Kurt Mattila,1
Barry Cook,2
 Neil Nightingale,1
Andy Seestedt,1
Cameron Crowe,1
Kevin Bachar,1
Michael Mayer,1
Thomas Astruc,2
Sigmund Spath Jr.,1
Mark Woodward,3
Sally Aitken,1
Jacob Cobi Benattia,1
 Pete Berg,1
 James Buchanan,1
David Mickey Evans,2
David Gelb,1
Enrico Casarosa,2
Gary Rydstrom,3
Norman Tokar,8
Adam Shankman,3
Don Hall,2
 Carlos López Estrada,1
Anthony Hemingway,1
Zach A. Parrish,1
Aqsa Altaf,1
Hao Zheng,1
Ann Marie Pace,1
Stephanie Abel Horowitz,1
Jessica Mendez Siqeiros,1
Moxie Peng,1
Steve Loter,3
Brett Ratner,1
Steve Miner,1
Kevin Nolting,1
Kentaro Takayanagi,3
Fred Zinnemann,1
Patrick Read Johnson,1
Tom Jennings,2
Joe Cornish,1
Ken Olin,1
Doug Shultz,1
James Orr,1
Daniel Petrie,1
Xavier Koller,1
John Korty,1
Jim Wheat,1
 Ken Wheat,1
Robert Stevenson,12
Shawn Levy,3
David Frankel,1
Scott Ressler,1
Ken Annakin,2
Kelly Asbury,1
Chris Hamilton,1
Tim Burton,4
Cristina Costantini,2
 Darren Foster,2
Jeff Gipson,1
Dereck Joubert,2
 Beverly Joubert,1
Lena Khan,1
Jorge R. Gutiérrez,1
Robert Iscove,1
Andy Fickman,3
Joe Nussbaum,2
Natalie Hewit,1
Harald Pokieser,1
Wes Anderson,2
Steve Purcell,1
Luc Marescot,1
Jimmy Hayward,1
 Steve Martino,1
Brandon Hill,1
 Marc Ostrick,1
Madeline Sharafian,1
Pete Docter,5
Michal Makarewicz,1
Rich Moore,2
 Phil Johnston,1
Reginald Hudlin,1
Sharon Maguire,1
Lasse Hallström,1
 Joe Johnston,1
Miguel Arteta,1
Ashley Avis,1
Angela Affinita,1
Klay Hall,2
Bobs Gannaway,1
Raja Gosnell,2
Thierry Fessard,1
 Yohann Thiriet,1
Peter Yost,1
Robert Zemeckis,2
Stanley Tong,1
Trevor Moore,1
Jon Turteltaub,6
Dan Abraham,1
 Trent Correy,1
Ben Finney,1
Angus MacLane,3
Justin Baldoni,1
Renan Ozturk,1
Leo Riley,2
Michael Apted,1
Christian Baumeister,1
Stephen Herek,3
Jacques Perrin,1
 Jacques Cluzaud,1
Theodore Melfi,1
Moritz Katz,1
Andy Tennant,1
Mark Monroe,1
Fabrice Gardel,1
 Simon Kessler,1
 Josselin Mahot,1
Marc Forster,1
Sam Weisman,2
Robert Lieberman,1
Jack Hannah,17
James Bobin,3
Bill Condon,1
Martin Johnson,1
Thea Sharrock,1
Paul Hoen,16
Mark Waters,2
Peyton Reed,2
Michael Gracey,1
Don Hahn,2
Mike Newell,1
Ben Wallis,1
 Emma Fraser,1
 Jess Tombs,1
Steve Martino,1
Jeremy Turner,1
Beyoncé Knowles-Carter,1
Tim Conrad,1
Dan Oliver,1
Brad Bird,5
Jim Aikman,1
Sophie Harris,2
Joachim Rønning,2
 Espen Sandberg,1
Wilfred Jackson,14
David Bowers,2
John Tracy,1
Ron Howard,2
Thomas Kail,1
Mike Thurmeier,1
Holly Sloan,1
Ward Kimball,2
Anthony Russo,4
 Joe Russo,4
 Chris Buck,1
Brian Smith,1
Ben Allen,1
 Tom Jenner,1
Jon Favreau,4
Peggy Holmes,3
Frank Marshall,2
 Rob Minkoff,1
Kenneth Branagh,2
Hamilton Luske,3
 Robert Stevenson,1
 William Beaudine,2
Theodore Thomas,2
Kenny Scott,1
Charles Nichols,12
James Neilson,2
Gene Kelly,1
Steven Hunter,1
Jeffrey Sherman,1
 Gregory Sherman,1
J.J. Abrams,2
Andrew Stanton,4
Oz Scott,3
David Ellis,1
Duwayne Dunham,8
Jack Kinney,9
James Algar,9
Rob Reiner,1
Ben Sharpsteen,7
Liliana Olszewski,1
Elizabeth Leiter,1
 Kimberly Woodard,1
Ron de Moraes,1
Jack Speirs,1
Alastair Fothergill,5
 Jeff Wilson,2
Keith Scholey,3
Jack King,5
Mark Linfield,2
Wilfred Jaxon,1
Vanessa Berlowitz,1
Dan Scanlon,2
Milt Schaffer,1
Dick Lundy,2
Gary Nelson,2
David Lynch,1
Simon Wells,1
Julie Robinson,1
Ava DuVernay,1
Hoyt Yeatman IV,1
Julia Hart,1
William Dear,1
Ryan Coogler,1
Stuart Strickson,1
Chris Rutkowski,1
Sol Choi,1
Wayne Wang,1
Tom McCarthy,1
Josh Cooley,3
Kenny Ortega,9
Frank Coraci,1
Jim Abrahams,1
Valerie LaPointe,1
Monfery Dominique,1
Bob Peterson,10
Erica Milsom,1
Guy Ritchie,1
John Lasseter,16
Rob Gibbs,5
Jeremy Lasky,3
Wayne Abbott,1
Jobim Sampson,2
Crispin Sadler,1
 Wayne Abbott,1
Mike Slee,1
Larry Lansburgh,1
Andrew Davis,1
Zak Knutson,1
Rian Johnson,1
David Grossman,1
Clayton Cogswell,1
Ericson Core,2
Edwin Chang,1
Taika Waititi,1
Fritz Mitchell,1
Chad Cohen,1
James Gartner,1
Lee Unkrich,3
Gil Junger,2
Wolfgang Reitherman,6
 Hamilton Luske,6
 Clyde Geronimi,5
Jim Kammerud,3
 Brian Smith,1
James Hayman,1
Richard Fleischer,1
Michael Gottlieb,1
Greg Beeman,5
Ron Clements,2
 John Musker,2
Tad Stones,2
Toby Shelton,1
 Tad Stones,1
 Alan Zaslove,1
Clyde Geronimi,8
 Wilfred Jackson,2
James Cameron,2
 Steven Quale,1
Rod Daniel,2
Steve Previn,1
Louie Schwartzberg,2
Vincent McEveety,10
Douglas McCarthy,1
Simcha Jacobovici,1
 Toby Shelton,1
 Victor Cook,1
Gary Trousdale,2
 Kirk Wise,2
Ted Mathot,1
Burt Gillett,5
Jack Donohue,1
David Hand,3
Brian Pimental,1
Domee Shi,1
Bob Kline,1
Andy Knight,1
Fisher Stevens,1
Joe Camp,1
 Chris Williams,1
Jenny Kubo,1
Rupert Wainwright,1
Chris Williams,1
Bud Luckey,1
Mark Andrews,2
 Brenda Chapman,1
Robert Ramirez,2
Martin Roe,1
Aaron Blaise,1
 Robert Walker,1
Benjamin Gluck,1
David Jackson,2
Larry Shaw,1
Jonathan Prince,1
Matthew Diamond,1
Paul Schneider,2
Brian Fee,1
 Scott Morse,1
Wes Craven,1
Jeff Blyth,1
Mark Dindal,2
John Kafka,1
Frank Nissen,2
Roger Kumble,1
Sara Sugarman,1
Francine McDougall,2
Norman Foster,2
Teddy Newton,1
 Andy Byatt,1
Thor Freudenthal,1
Ralph Zondag,1
 Eric Leighton,1
John Schultz,1
Stuart Gillard,8
Érik Canuel,1
Mark Taylor,1
Hasraf Dulull,1
Chris Wilson,2
 Keith Scholey,1
Lu Chuan,1
 Mark Linfield,1
Matthew Aeberhard,1
 Leander Ward,1
Kenneth Johnson,2
Maurice Joyce,1
Bob Hathcock,1
Ronnie Del Carmen,1
Glenn Weiss,1
Geoff Luck,1
Peter Tewksbury,1
Edith Becker,1
 Kevin Burns,1
John Hough,2
Mark Davis,1
Samuel Armstrong,1
 James Algar,2
 Bill Roberts,1
Pixote Hunt,1
 Hendel Butoy,1
 Eric Goldberg,2
Dick Rickard,1
 Angus MacLane,1
David Evans,1
Randal Kleiser,3
Bobby Rubio,1
Les Mayfield,1
Ralph Eggleston,1
Elizabeth Vasarhelyi,1
 Jimmy Chin,1
Daisy Mayer,1
 W. Roberts,1
Mick Garris,1
Jeffrey Hornaday,3
Jan Pinkava,1
Maggie Greenwald,1
Ken Corben,1
Arlene Sanford,2
Ramon Menendez,1
C. Nichols,1
Don Chaffey,2
Mark Dippé,2
Mary Lambert,1
Bruce Hendricks,2
Peter Chelsom,1
Steven Brill,1
John Musker,5
 Ron Clements,5
Will Finn,1
 John Sanford,1
Joe Johnston,2
Dean Cundey,1
Neal Israel,2
Ricardo Curtis,1
Tim Fywell,1
Leo Matsuda,1
David Kellogg,1
Pete McBride,1
Neil Gelinas,1
Charles Haid,2
Francis Coppola,1
Henry Selick,2
Brett Morgen,1
Eric Bross,1
Steve Boyum,4
Henry Levin,1
Michael Lange,1
John Pasquin,2
Paul Glaser,1
Adam Stein,1
 Zach Lipovsky,1
Rosana Sullivan,1
Elliot Bour,2
 Saul Blinkoff,2
Charlie Bean,1
James Murphy,1
Michael Hegner,5
Patricia Riggen,1
Roberts Gannaway,1
 Tony Craig,1
James Lapine,1
Steven Tsuchida,1
Christopher Sanders,1
 Dean DeBlois,1
Tony Leondis,1
 Michael LaBash,1
Dave Mullins,1
Julia Reagan,1
Alfred Gimeno,1
Joss Whedon,2
Anna Boden,1
 Ryan Fleck,1
Scott Derrickson,1
James Gunn,2
Shane Black,1
Alan Taylor,1
Stephen Anderson,2
 Jack Kinney,3
Donovan Cook,1
Riley Thomson,1
Burny Mattinson,1
Bradley Raymond,6
 Jun Falkenstein,1
 Bill Speers,1
 Walt Disney,2
Matthew O'Callaghan,1
Ron Underwood,1
 Roger Gould,1
Lev Spiro,1
Gavin O'Connor,1
Ken Cameron,1
Daniel Smith,1
Stephen Boyum,1
Darrell Rooney,3
 Lynne Southerland,1
Brian Henson,2
Donald Petrie,1
Jeff Calhoun,1
 Brett Sullivan,1
Marc Lawrence,1
George Scribner,1
Kathleen Marshall,1
Phillip Borsos,1
 Andrew Jimenez,1
Simon Wincer,2
Sidney Beaumont,1
 Michael Bonfiglio,1
Peter Sohn,2
Kelsey Mann,1
N. Paul Kenworthy,1
 Ralph Wright,1
David Lowery,1
Robin Budd,1
Blair Treu,1
Dan Povenmire,1
 Robert Hughes,1
Robert Hughes,1
 Sue Perrotto,1
Francis Glebas,1
Alan Barillaro,1
Gore Verbinski,3
Mike Gabriel,1
 Tom Ellery,1
David Swift,2
Karl Geurs,1
Doug Sweetland,1
Allison Liddi-Brown,1
Kristen Lester,1
Mira Nair,1
Bill Corcoran,1
Howy Parkins,2
 Chuck Sheetz,1
Chuck Sheetz,1
Boaz Yakin,1
Walter Murch,1
John Murlowski,1
Joyce Chopra,1
Gareth Edwards,1
George Butler,1
Euzhan Palcy,1
Jon Long,1
Bill Roberts,3
 Ham Luske,1
Sanjay Patel,1
John Hancock,2
Robert Nixon,1
Randall Wallace,1
Bob Strange,1
Michael Lembeck,3
Nils Gaup,1
Emile Ardolino,2
Bill Duke,1
Ralph Hemecker,1
LeVar Burton,1
Brian Larsen,2
Ron Lagomarsino,1
George Lucas,4
Richard Marquand,1
Irvin Kershner,1
Michael Grossman,1
Walt Disney,2
 Ub Iwerks,1
Tony Craig,1
 Bobs Gannaway,1
Christopher Spencer,1
Savage Holland,1
Ed Abroms,1
Edward Ludwig,1
Jeremiah Chechik,1
Tom Caulfield,1
 Stephen Sandoval,1
Timothy Björklund,1
Bob Spiers,1
Alvy Smith,1
Stephen Sommers,1
Bernard McEveety,1
Ted Berman,1
 Richard Rich,2
Saschka Unseld,1
Alan Shapiro,1
Andrew Adamson,2
Kevin Hooks,1
Robert Butler,1
Peter Hastings,1
Sean McNamara,2
Brad Bestelink,1
Art Stevens,1
 Ted Berman,1
Bruce Bilson,1
Jim Henson,1
Bill Paxton,1
Rob Minkoff,1
Fletcher Markle,1
Jeremy Kagan,1
Steve Trenbirth,1
Nick Marck,1
Riley Thomas,1
