genre,cast,counts
action,1,14
adventure,Bruce Willis,8
and culture,Eddie Izzard,9
animation,Om Nom,10
anime,Kotono Mitsuishi,4
arthouse,Alex Neustaedter,2
arts,Eddie Izzard,9
comedy,Cassandra Peterson,22
documentary, Ph.D.,17
drama,Nassar,19
entertainment,Eddie Izzard,9
faith and spirituality, Ph.D.,17
fantasy,Jerry Nelson,3
fitness,Anne-Marie Newland,14
historical,Kate Winslet,2
horror,Cassandra Peterson,22
international,Rani Mukerji,9
kids,Erin Webbs,17
lgbtq,A.J. WILLIAMS,1
military and war,Herman Bing,2
music videos and concerts,Rammstein,3
romance,Amitabh Bachchan,7
science fiction,Cassandra Peterson,7
special interest,Anne-Marie Newland,22
sports,Akshay Kumar,2
suspense,Michael Madsen,11
talk show and variety,Aaron Hunsaker,1
unscripted,Charles Paraventi,1
western,Gene Autry,31
young adult audience,Dan Monahan,3
