listed_in,counts
family,632
animation,542
comedy,526
action-adventure,452
animals & nature,208
coming of age,205
fantasy,192
documentary,174
kids,141
drama,134
docuseries,122
science fiction,91
historical,53
music,48
musical,44
sports,43
biographical,41
buddy,40
anthology,28
reality,26
romance,20
superhero,19
crime,16
variety,12
mystery,12
game show / competition,10
survival,9
parody,9
lifestyle,8
western,7
concert film,7
dance,6
medical,6
thriller,5
anime,4
movies,3
series,3
spy/espionage,3
romantic comedy,2
soap opera / melodrama,2
disaster,2
police/cop,1
talk show,1
travel,1
