Cast,Genre(s)
Chris Diamantopoulos,"['Action-Adventure', 'Anthology', 'Animation', 'Family', 'Parody']"
 Tony Anselmo,"['Comedy', 'Action-Adventure', 'Kids', 'Anthology', 'Animation', 'Family', 'Parody']"
 Tress MacNeille,"['Comedy', 'Action-Adventure', 'Fantasy', 'Kids', 'Sports', 'Anthology', 'Animation', 'Family', 'Parody']"
 Bill Farmer,"['Comedy', 'Buddy', 'Action-Adventure', 'Fantasy', 'Kids', 'Sports', 'Anthology', 'Animation', 'Family', 'Parody']"
 Russi Taylor,"['Comedy', 'Buddy', 'Action-Adventure', 'Fantasy', 'Kids', 'Sports', 'Anthology', 'Animation', 'Family', 'Parody']"
 Corey Burton,"['Comedy', 'Buddy', 'Science Fiction', 'Action-Adventure', 'Fantasy', 'Kids', 'Animation', 'Series', 'Family']"
Jim Varney,"['Comedy', 'Action-Adventure', 'Buddy', 'Animation']"
 Noelle Parker,['Comedy']
 Douglas Seale,['Comedy']
Raymond Albert Romano,"['Animation', 'Comedy', 'Family']"
 John Leguizamo,"['Animation', 'Action-Adventure', 'Comedy', 'Family']"
 Denis Leary,"['Comedy', 'Action-Adventure', 'Animals & Nature', 'Animation', 'Family']"
 Queen Latifah,"['Comedy', 'Concert Film', 'Family', 'Animation', 'Fantasy']"
Darren Criss,"['Comedy', 'Family', 'Musical']"
 Adam Lambert,['Musical']
 Derek Hough,['Musical']
 Alexander Jean,['Musical']
 Fall Out Boy,['Musical']
 Jimmie Allen,['Musical']
John Lennon,"['Docuseries', 'Music', 'Historical']"
 Paul McCartney,"['Docuseries', 'Music', 'Historical']"
 George Harrison,"['Docuseries', 'Music', 'Historical']"
 Ringo Starr,"['Docuseries', 'Music', 'Historical']"
Jacques Yves Cousteau,"['Documentary', 'Biographical']"
 Vincent Cassel,"['Documentary', 'Biographical']"
Jeremy Renner,"['Science Fiction', 'Action-Adventure', 'Fantasy', 'Superhero']"
 Hailee Steinfeld,"['Action-Adventure', 'Superhero']"
 Vera Farmiga,"['Action-Adventure', 'Superhero']"
 Fra Fee,"['Action-Adventure', 'Superhero']"
 Tony Dalton,"['Action-Adventure', 'Superhero']"
 Zahn McClarnon,"['Action-Adventure', 'Superhero']"
Gary Muehlberger,"['Survival', 'Docuseries', 'Reality']"
 Mary Miller,"['Survival', 'Docuseries', 'Reality']"
 Curly Leach,"['Survival', 'Docuseries', 'Reality']"
 Sam Carlson,"['Survival', 'Docuseries', 'Reality']"
 Stuart Andrews,"['Survival', 'Docuseries', 'Reality']"
 David Squibb,"['Survival', 'Docuseries', 'Reality']"
Dr. Ray Ball,"['Docuseries', 'Family', 'Animals & Nature']"
 Dr. Lauren Smith,"['Docuseries', 'Family', 'Animals & Nature']"
 Chris Massaro,"['Docuseries', 'Family', 'Animals & Nature']"
 Tiffany Burns,"['Docuseries', 'Family', 'Animals & Nature']"
 Mike Burns,"['Docuseries', 'Family', 'Animals & Nature']"
 Melinda Mendolusky,"['Docuseries', 'Family', 'Animals & Nature']"
Steve Whitmire,"['Comedy', 'Action-Adventure', 'Musical', 'Kids', 'Drama', 'Family']"
 Dave Goelz,"['Comedy', 'Action-Adventure', 'Musical', 'Variety', 'Crime', 'Drama', 'Family']"
 Bill Barretta,"['Comedy', 'Family', 'Musical', 'Lifestyle']"
 Eric Jacobson,"['Comedy', 'Lifestyle', 'Action-Adventure', 'Musical', 'Kids', 'Family']"
Don Hahn,['Documentary']
 Kathryn Beaumont,"['Animation', 'Action-Adventure', 'Documentary', 'Family']"
 Pete Docter,['Documentary']
 Kevin Feige,['Documentary']
 Mark Hamill,"['Comedy', 'Family', 'Science Fiction', 'Action-Adventure', 'Animation', 'Documentary']"
 Bob Iger,['Documentary']
Stacy Keach,"['Comedy', 'Family', 'Action-Adventure', 'Animation', 'Documentary']"
 John Lasseter,"['Documentary', 'Family']"
 Brad Bird,"['Documentary', 'Family']"
 John Musker,"['Documentary', 'Family']"
 Ron Clements,"['Documentary', 'Family']"
 Frank Thomas,"['Documentary', 'Family']"
Dr. Michelle Oakley,"['Action-Adventure', 'Docuseries', 'Animals & Nature']"
 Zachary Fine,"['Action-Adventure', 'Docuseries', 'Animals & Nature']"
Michael B. Jordan,['Animals & Nature']
Jack Dylan Grazer,"['Comedy', 'Buddy', 'Movies', 'Coming of Age', 'Animation', 'Family']"
 Marco Barricelli,"['Comedy', 'Family', 'Coming of Age', 'Animation', 'Buddy']"
Mia Jenness,"['Animation', 'Kids']"
 Alyson Hannigan,"['Comedy', 'Kids', 'Drama', 'Coming of Age', 'Animation']"
 Rob Riggle,"['Animation', 'Family', 'Fantasy', 'Kids']"
 Spencer Moss,"['Animation', 'Kids']"
 Dana Heath,"['Animation', 'Kids']"
Carolina Domenech,"['Comedy', 'Drama', 'Coming of Age']"
 José Jiménez Zapiola,"['Comedy', 'Drama', 'Coming of Age']"
 Kevsho,"['Comedy', 'Drama', 'Coming of Age']"
 Elena Roger,"['Comedy', 'Drama', 'Coming of Age']"
 Clara Alonso,"['Comedy', 'Drama', 'Coming of Age']"
 Emilia Mernes,"['Comedy', 'Drama', 'Coming of Age']"
Amy Adams,"['Comedy', 'Action-Adventure', 'Fantasy', 'Kids', 'Family', 'Parody']"
 Patrick Dempsey,"['Comedy', 'Family', 'Fantasy']"
 James Marsden,"['Comedy', 'Science Fiction', 'Action-Adventure', 'Fantasy', 'Family']"
 Timothy Spall,"['Comedy', 'Family', 'Fantasy']"
