Director,Genre(s)
Kemi Adetiba,"['Dramas', 'International Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas', 'Comedies']"
Ben Simms,['Children & Family Movies']
Prakash Satam,"['Children & Family Movies', 'Comedies']"
Delhiprasad Deenadayalan,"['Comedies', 'Dramas', 'International Movies']"
Delhiprasad Deenadayalan,"['Comedies', 'Dramas', 'International Movies']"
Tomer Eshed,['Children & Family Movies']
Cedric Nicolas-Troyan,['Action & Adventure']
JJC Skillz,"['Action & Adventure', 'Comedies', 'Dramas']"
 Funke Akindele,"['Action & Adventure', 'Comedies', 'Dramas']"
Thomas Sieben,"['International Movies', 'Thrillers', 'Dramas']"
Marcus Clarke,"['Documentaries', 'Sports Movies']"
Alice Waddington,"['Sci-Fi & Fantasy', 'Thrillers']"
Mona Achache,"['Documentaries', 'International Movies']"
 Patricia Tourancheau,"['Documentaries', 'International Movies']"
Alexis Almström,"['Dramas', 'International Movies', 'Romantic Movies']"
Raja Gosnell,"['Children & Family Movies', 'Comedies']"
Stephen Kijak,"['Documentaries', 'Music & Musicals']"
Chapman Way,"['Documentaries', 'Sports Movies']"
 Maclain Way,"['Documentaries', 'Sports Movies']"
Jason Hehir,"['Docuseries', 'Science & Nature TV']"
Yemi Amodu,"['Dramas', 'International Movies', 'Thrillers']"
Lijo Jose Pellissery,"['Action & Adventure', 'Comedies', 'Dramas']"
David de Vos,"['Children & Family Movies', 'Dramas']"
Luis Alfaro,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows', 'Documentaries', 'International Movies']"
 Javier Gómez Santander,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']"
Sara Colangelo,"['Dramas', 'Independent Movies']"
Stephen Herek,"['Comedies', 'Romantic Movies', 'Children & Family Movies']"
Rahul Rawail,"['Dramas', 'International Movies', 'Thrillers']"
Jane Campion,"['Dramas', 'Romantic Movies', 'Thrillers', 'Classic Movies', 'Independent Movies']"
Nagesh Kukunoor,"['Comedies', 'Dramas', 'Independent Movies', 'International Movies', 'Thrillers']"
Luke Holland,['Documentaries']
Shanker Raman,"['Dramas', 'International Movies', 'Thrillers']"
JP Habac,"['Dramas', 'International Movies', 'Romantic Movies']"
Jane Campion,"['Dramas', 'Romantic Movies', 'Thrillers', 'Classic Movies', 'Independent Movies']"
Vidhu Vinod Chopra,"['Dramas', 'International Movies', 'Romantic Movies']"
Mark Rosman,"['Children & Family Movies', 'Comedies']"
Gilles Paquet-Brenner,"['Dramas', 'International Movies', 'Thrillers']"
Lasse Hallström,"['Dramas', 'Romantic Movies', 'Children & Family Movies', 'Classic Movies', 'Independent Movies', 'Comedies']"
Scott Pleydell-Pearce,"['Children & Family Movies', 'Music & Musicals']"
Ridley Scott,"['Action & Adventure', 'Classic Movies', 'Cult Movies', 'Dramas']"
Neill Blomkamp,"['Action & Adventure', 'Sci-Fi & Fantasy', 'International Movies']"
Phillip Noyce,"['Action & Adventure', 'Dramas', 'Thrillers']"
Renny Harlin,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy', 'Comedies']"
Anthony Minghella,"['Dramas', 'Romantic Movies', 'Thrillers']"
Simon Wincer,"['Action & Adventure', 'Comedies', 'Children & Family Movies', 'Dramas']"
Lasse Hallström,"['Dramas', 'Romantic Movies', 'Children & Family Movies', 'Classic Movies', 'Independent Movies', 'Comedies']"
Spike Lee,"['Classic Movies', 'Comedies', 'Dramas', 'Stand-Up Comedy', 'Action & Adventure']"
Sebastián Schindel,"['Dramas', 'International Movies', 'Thrillers', 'Independent Movies']"
Steven C. Miller,['Action & Adventure']
Richard LaGravenese,"['Dramas', 'Romantic Movies']"
Martin Campbell,"['Action & Adventure', 'Sci-Fi & Fantasy', 'International Movies', 'Romantic Movies']"
Reginald Hudlin,"['Comedies', 'Cult Movies', 'Dramas', 'Documentaries', 'Music & Musicals']"
George Jackson,"['Comedies', 'Cult Movies', 'Music & Musicals']"
 Doug McHenry,"['Comedies', 'Cult Movies', 'Music & Musicals']"
Eric Meza,"['Comedies', 'Music & Musicals']"
Gerhard Mostert,['TV Shows']
Michael Martin,"['Action & Adventure', 'Comedies']"
Michael Rymer,['Thrillers']
Andrew Lau Wai-keung,"['Action & Adventure', 'International Movies']"
 Alan Mak,"['Action & Adventure', 'International Movies']"
Brett Weiner,['Comedies']
Jim Henson,"['Action & Adventure', 'Children & Family Movies', 'Cult Movies']"
Gary Winick,"['Comedies', 'Dramas', 'Romantic Movies']"
Danishka Esterhazy,"['Sci-Fi & Fantasy', 'Thrillers']"
Troy Byer,"['Comedies', 'Romantic Movies']"
Pang Ho-cheung,"['Comedies', 'Dramas', 'International Movies']"
Tim Burton,"['Comedies', 'Cult Movies', 'Sci-Fi & Fantasy', 'Children & Family Movies', 'Dramas', 'Horror Movies', 'Music & Musicals']"
Reginald Hudlin,"['Comedies', 'Cult Movies', 'Dramas', 'Documentaries', 'Music & Musicals']"
David Zucker,"['Comedies', 'Romantic Movies', 'Sports Movies', 'Cult Movies']"
Kinka Usher,"['Action & Adventure', 'Comedies']"
Sergio Leone,"['Classic Movies', 'Dramas', 'Action & Adventure', 'International Movies']"
Matthew O'Callaghan,"['Children & Family Movies', 'Comedies']"
 Todd Wilderman,"['Children & Family Movies', 'Comedies']"
Bobby Farrelly,"['Action & Adventure', 'Children & Family Movies', 'Comedies', 'Romantic Movies', 'Cult Movies', 'Sports Movies']"
 Peter Farrelly,"['Action & Adventure', 'Children & Family Movies', 'Comedies', 'Romantic Movies']"
Wolfgang Petersen,"['Action & Adventure', 'Dramas', 'Classic Movies']"
Peter Spirer,"['Documentaries', 'Music & Musicals']"
Michael Carney,"['Dramas', 'Faith & Spirituality']"
Richard Linklater,"['Comedies', 'Music & Musicals']"
Amy Rice,"['Documentaries', 'LGBTQ Movies']"
Antoine Fuqua,"['Dramas', 'Thrillers', 'Action & Adventure']"
Randal Kleiser,"['Dramas', 'Romantic Movies', 'Classic Movies', 'Comedies', 'Music & Musicals']"
Michael Ritchie,"['Action & Adventure', 'Comedies']"
J. Lee Thompson,"['Action & Adventure', 'Classic Movies']"
Evan Goldberg,"['Action & Adventure', 'Comedies']"
 Seth Rogen,"['Action & Adventure', 'Comedies']"
Tom Shadyac,"['Comedies', 'Romantic Movies', 'Children & Family Movies', 'Faith & Spirituality']"
Peter Segal,"['Comedies', 'Romantic Movies', 'Action & Adventure']"
Malcolm D. Lee,"['Comedies', 'Horror Movies']"
Wolfgang Petersen,"['Action & Adventure', 'Dramas', 'Classic Movies']"
Chapman Way,"['Documentaries', 'Sports Movies']"
 Maclain Way,"['Documentaries', 'Sports Movies']"
Ramzy Bedia,"['Comedies', 'International Movies']"
 Éric Judor,"['Comedies', 'International Movies']"
Sharan Koppisetty,"['Dramas', 'International Movies']"
Taylor Sheridan,"['Dramas', 'Independent Movies']"
Sachin Yardi,"['Action & Adventure', 'Comedies', 'International Movies', 'Dramas', 'Independent Movies']"
Saurabh Kabra,"['Comedies', 'Dramas', 'International Movies']"
Mark Waters,"['Comedies', 'Romantic Movies', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Children & Family Movies']"
Kemi Adetiba,"['Dramas', 'International Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas', 'Comedies']"
Partho Mitra,"['Comedies', 'Dramas', 'International Movies']"
Santram Varma,"['Action & Adventure', 'Horror Movies', 'International Movies']"
Anil V. Kumar,"['Dramas', 'International Movies', 'Thrillers']"
 Anurag Basu,"['Dramas', 'International Movies', 'Thrillers']"
Sangeeth Sivan,"['Comedies', 'International Movies', 'Music & Musicals', 'Action & Adventure']"
Umesh Ghadge,"['Comedies', 'International Movies']"
Sachin Yardi,"['Action & Adventure', 'Comedies', 'International Movies', 'Dramas', 'Independent Movies']"
David Dhawan,"['Comedies', 'International Movies', 'Sci-Fi & Fantasy', 'Music & Musicals', 'Action & Adventure', 'Romantic Movies', 'Dramas']"
Dibakar Banerjee,"['Dramas', 'Independent Movies', 'International Movies', 'Horror Movies', 'Thrillers', 'Comedies']"
Apoorva Lakhia,"['Action & Adventure', 'International Movies', 'Music & Musicals', 'Dramas']"
Milan Luthria,"['Dramas', 'International Movies', 'Music & Musicals', 'Comedies', 'Thrillers', 'Action & Adventure']"
Milan Luthria,"['Dramas', 'International Movies', 'Music & Musicals', 'Comedies', 'Thrillers', 'Action & Adventure']"
Pawan Kripalani,"['Horror Movies', 'International Movies']"
Bhushan Patel,"['Horror Movies', 'International Movies']"
Magnus Martens,"['Action & Adventure', 'International Movies']"
Apoorva Lakhia,"['Action & Adventure', 'International Movies', 'Music & Musicals', 'Dramas']"
Raj Nidimoru,"['Comedies', 'Dramas', 'Independent Movies']"
 Krishna D.K.,"['Comedies', 'Dramas', 'Independent Movies']"
Milan Luthria,"['Dramas', 'International Movies', 'Music & Musicals', 'Comedies', 'Thrillers', 'Action & Adventure']"
Joshua Rofé,['Documentaries']
Brad Anderson,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries', 'Dramas', 'Independent Movies', 'Thrillers', 'Horror Movies']"
Mauricio Dias,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
 Tatiana Villela,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
Angel Kristi Williams,"['Dramas', 'Independent Movies', 'Romantic Movies']"
Roger Donaldson,"['Action & Adventure', 'Dramas', 'International Movies', 'Thrillers']"
Christopher Alender,['Horror Movies']
Rush Sturges,"['Documentaries', 'Sports Movies']"
David Oyelowo,"['Children & Family Movies', 'Dramas']"
Mark Lo,"['Documentaries', 'Music & Musicals']"
Crystal Moselle,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']"
Rathindran R Prasad,"['Horror Movies', 'International Movies', 'Thrillers', 'TV Shows']"
Rathindran R Prasad,"['Horror Movies', 'International Movies', 'Thrillers', 'TV Shows']"
Rathindran R Prasad,"['Horror Movies', 'International Movies', 'Thrillers', 'TV Shows']"
Rathindran R Prasad,"['Horror Movies', 'International Movies', 'Thrillers', 'TV Shows']"
Han Kwang Il,"['Action & Adventure', 'Anime Features']"
Karim El Shenawy,"['Dramas', 'International Movies', 'Thrillers']"
Yin Chen-hao,"['Dramas', 'International Movies', 'Romantic Movies']"
Brian Andrew Mendoza,"['Action & Adventure', 'Dramas']"
Dave Needham,"['Children & Family Movies', 'Comedies', 'Music & Musicals']"
Veronica Velasco,"['Dramas', 'International Movies', 'Romantic Movies']"
Drake Doremus,"['Dramas', 'Independent Movies', 'Romantic Movies', 'Sci-Fi & Fantasy']"
Miguel Alexandre,"['International Movies', 'Thrillers']"
Mani Ratnam,"['Dramas', 'International Movies', 'Romantic Movies']"
Michael Harte,"['Documentaries', 'International Movies']"
Tosin Igho,"['Dramas', 'International Movies']"
Mani Ratnam,"['Dramas', 'International Movies', 'Romantic Movies']"
Alice Filippi,"['Comedies', 'Dramas', 'International Movies']"
Paakhi Tyrewala,"['Comedies', 'Dramas', 'International Movies']"
Bruno Garotti,"['Children & Family Movies', 'Comedies', 'International Movies', 'Romantic Movies']"
Laura Brownson,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']"
Steve Brill,"['Comedies', 'Independent Movies', 'Horror Movies', 'Stand-Up Comedy', 'Romantic Movies']"
Jane Campion,"['Dramas', 'Romantic Movies', 'Thrillers', 'Classic Movies', 'Independent Movies']"
Moses Inwang,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies', 'Thrillers']"
Ferdinando Cito Filomarino,['Action & Adventure']
Juan Carlos Medina,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
Inma Torrente,"['International TV Shows', 'Romantic TV Shows', 'Spanish-Language TV Shows']"
Julián Gaviria,['Stand-Up Comedy']
Steven Yamamoto,"['Action & Adventure', 'Anime Features', 'Children & Family Movies']"
Charles Uwagbai,"['Comedies', 'International Movies']"
Julián Hernández,"['Dramas', 'Independent Movies', 'International Movies']"
Sam Hobkinson,"['Documentaries', 'International Movies', 'Dramas']"
Vince Marcello,"['Comedies', 'Romantic Movies', 'Children & Family Movies', 'Dramas']"
Jonathan Teplitzky,"['Dramas', 'International Movies']"
Sakon Tiacharoen,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
Floyd Russ,"['Documentaries', 'Sports Movies']"
Dustin Hoffman,"['Comedies', 'Dramas', 'Independent Movies']"
Adze Ugah,"['Comedies', 'International Movies', 'Romantic Movies', 'Dramas']"
Hideaki Takizawa,"['International Movies', 'Music & Musicals']"
Quoc Bao Tran,"['Action & Adventure', 'Comedies']"
Bejoy Nambiar,"['TV Shows', 'Dramas', 'International Movies', 'Thrillers', 'Action & Adventure', 'Independent Movies']"
 Priyadarshan,['TV Shows']
 Karthik Narain,['TV Shows']
 Vasanth Sai,['TV Shows']
 Karthik Subbaraj,['TV Shows']
 Arvind Swamy,['TV Shows']
 Rathindran R Prasad,['TV Shows']
 Sarjun,['TV Shows']
 Gautham Vasudev Menon,"['TV Shows', 'International TV Shows', 'TV Dramas']"
Kayode Kasum,"['Comedies', 'Dramas', 'International Movies', 'Romantic Movies']"
Just Philippot,"['Horror Movies', 'Independent Movies', 'International Movies']"
Kirk DeMicco,"['Children & Family Movies', 'Music & Musicals']"
 Brandon Jeffords,"['Children & Family Movies', 'Music & Musicals']"
Rohit Shetty,"['Action & Adventure', 'Comedies', 'International Movies', 'Dramas', 'Music & Musicals']"
Cavi Borges,"['Documentaries', 'International Movies']"
 Luciano Vidigal,"['Documentaries', 'International Movies']"
Alejandro Doria,"['Comedies', 'Cult Movies', 'International Movies']"
Laura Fairrie,['Documentaries']
Marcelo Piñeyro,"['Classic Movies', 'Dramas', 'International Movies']"
Izu Ojukwu,"['Dramas', 'International Movies']"
Peter Winther,['Horror Movies']
Susan Lacy,['Movies']
Billy Corben,"['Crime TV Shows', 'Docuseries', 'Documentaries', 'Sports Movies']"
James Mangold,"['Dramas', 'Independent Movies', 'Romantic Movies', 'Comedies']"
Chineze Anyaene,"['Dramas', 'International Movies']"
Hsu Fu-chun,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies', 'TV Dramas']"
Kristine Stolakis,"['Documentaries', 'LGBTQ Movies']"
Eva Müller,"['Documentaries', 'International Movies']"
 Michael Schmitt,"['Documentaries', 'International Movies']"
Brian Levant,"['Children & Family Movies', 'Comedies', 'Romantic Movies', 'Action & Adventure']"
Rod Daniel,"['Children & Family Movies', 'Comedies']"
Robert Zemeckis,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Children & Family Movies', 'Horror Movies', 'Thrillers']"
Todor Chapkanov,['Action & Adventure']
Steven Spielberg,"['Action & Adventure', 'Classic Movies', 'Dramas', 'Children & Family Movies', 'Sci-Fi & Fantasy']"
Phil Lord,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
 Christopher Miller,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Renny Harlin,"['Action & Adventure', 'Horror Movies', 'Sci-Fi & Fantasy', 'Comedies']"
John Hughes,"['Classic Movies', 'Comedies', 'Cult Movies']"
Justin Baldoni,"['Dramas', 'Romantic Movies']"
Joe Roth,"['Dramas', 'Thrillers', 'Children & Family Movies', 'Comedies']"
Mark Helfrich,"['Comedies', 'Romantic Movies']"
Mag Hsu,"['Dramas', 'Independent Movies', 'International Movies', 'Comedies']"
 Hsu Chih-yen,"['Dramas', 'Independent Movies', 'International Movies']"
Christopher Nolan,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Thrillers']"
Paul Thomas Anderson,"['Dramas', 'Independent Movies', 'Comedies', 'Music & Musicals']"
Nick Castle,"['Comedies', 'Children & Family Movies']"
Howard Zieff,"['Dramas', 'Children & Family Movies', 'Comedies']"
Howard Zieff,"['Dramas', 'Children & Family Movies', 'Comedies']"
David Feiss,"['Children & Family Movies', 'Comedies']"
David Gordon Green,"['Action & Adventure', 'Comedies', 'Dramas', 'Independent Movies']"
Jorge Blanco,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Zara Hayes,['Comedies']
Gary Ross,"['Dramas', 'Sports Movies', 'Action & Adventure']"
Clint Eastwood,"['Action & Adventure', 'Dramas', 'Sci-Fi & Fantasy', 'Sports Movies', 'Classic Movies', 'Thrillers', 'Music & Musicals']"
Trey Parker,"['Action & Adventure', 'Comedies', 'Cult Movies']"
Kelly Fremon Craig,"['Comedies', 'Dramas']"
Tom Elkins,['Horror Movies']
Tony Scott,"['Action & Adventure', 'Comedies']"
Brad Furman,"['Dramas', 'Thrillers']"
Sylvain White,['Action & Adventure']
Brad Anderson,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries', 'Dramas', 'Independent Movies', 'Thrillers', 'Horror Movies']"
Irwin Winkler,['Thrillers']
Spike Lee,"['Classic Movies', 'Comedies', 'Dramas', 'Stand-Up Comedy', 'Action & Adventure']"
Garry Marshall,"['Comedies', 'Romantic Movies', 'Dramas']"
Kenneth Gyang,"['Dramas', 'International Movies', 'Comedies']"
Jaume Balagueró,"['Action & Adventure', 'International Movies', 'Thrillers']"
Najwa Najjar,"['Dramas', 'Independent Movies', 'International Movies']"
Selçuk Metin,"['Documentaries', 'International Movies']"
Najwa Najjar,"['Dramas', 'Independent Movies', 'International Movies']"
Keishi Otomo,"['Action & Adventure', 'International Movies']"
David Charhon,"['Action & Adventure', 'Comedies', 'International Movies']"
Michelle Bello,"['Comedies', 'International Movies', 'Romantic Movies']"
Steven Tsuchida,"['Comedies', 'Romantic Movies']"
Daniel Markowicz,"['Action & Adventure', 'International Movies']"
Louie Schwartzberg,['Documentaries']
Glen Winter,"['Crime TV Shows', 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']"
Ram Gopal Varma,"['Action & Adventure', 'International Movies', 'Horror Movies', 'Thrillers', 'Dramas', 'Independent Movies']"
David Benullo,['Thrillers']
Laxman Utekar,"['Comedies', 'Dramas', 'International Movies', 'Romantic Movies']"
Royale Watkins,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
 Rich Schlansker,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
Yuval Adler,"['Dramas', 'International Movies', 'Thrillers']"
Quentin Tarantino,"['Action & Adventure', 'Dramas', 'TV Shows', 'Thrillers', 'Classic Movies', 'Cult Movies']"
Clay Glen,"['Children & Family Movies', 'Sports Movies', 'Dramas', 'International Movies']"
Muzi Mthembu,"['Dramas', 'Independent Movies', 'International Movies']"
Marcos Bucay,"['Comedies', 'International Movies', 'Stand-Up Comedy', 'Movies']"
Peter Thorwarth,"['Action & Adventure', 'Horror Movies', 'International Movies']"
Kim Seong-hun,"['Horror Movies', 'International Movies', 'Thrillers', 'International TV Shows', 'Korean TV Shows', 'TV Action & Adventure']"
Augustine Frizzell,"['Dramas', 'Romantic Movies']"
Sidheswar Shukla,"['Children & Family Movies', 'Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Binayak Das,['Children & Family Movies']
Arpan Sarkar,['Children & Family Movies']
 Shyamal Chaulia,['Children & Family Movies']
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
 Owll Mina,['Children & Family Movies']
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Rajiv Chilaka,"['Children & Family Movies', 'Sports Movies']"
Ainsley Gardiner,['Dramas']
 Briar Grace-Smith,['Dramas']
Mahmoud Karim,"['Comedies', 'International Movies', 'Children & Family Movies', 'Dramas', 'Romantic Movies']"
Kyohei Ishiguro,"['Anime Features', 'Children & Family Movies', 'International Movies']"
Seyi Babatope,"['Dramas', 'International Movies', 'Thrillers', 'Romantic Movies']"
Johane Matte,['Children & Family Movies']
 Andrew L. Schmidt,['Children & Family Movies']
 Francisco Ruiz Velasco,['Children & Family Movies']
Morgan Ingari,"['Comedies', 'Dramas', 'Independent Movies']"
Abdulaziz Alshlahei,"['Dramas', 'International Movies', 'Romantic Movies']"
Edward Drake,['Action & Adventure']
Kathryn Fasegha,"['Dramas', 'International Movies', 'Romantic Movies']"
Sita Likitvanichkul,"['Dramas', 'International Movies', 'Thrillers']"
 Jetarin Ratanaserikiat,"['Dramas', 'International Movies', 'Thrillers']"
 Apirak Samudkitpaisan,"['Dramas', 'International Movies', 'Thrillers']"
 Thanabodee Uawithya,"['Dramas', 'International Movies', 'Thrillers']"
 Adirek Wattaleela,"['Dramas', 'International Movies', 'Thrillers']"
Leigh Janiak,"['Horror Movies', 'LGBTQ Movies']"
Luis Estrada,"['Comedies', 'International Movies', 'Dramas']"
Garrett Bradley,['Docuseries']
Sofia Coppola,"['Dramas', 'Independent Movies', 'Thrillers', 'Comedies', 'Music & Musicals']"
Colin Trevorrow,"['Dramas', 'Comedies', 'Independent Movies', 'Romantic Movies']"
Bill Condon,"['Dramas', 'Romantic Movies']"
Bill Condon,"['Dramas', 'Romantic Movies']"
David Slade,"['Dramas', 'Romantic Movies']"
Chris Weitz,"['Dramas', 'Romantic Movies', 'Thrillers', 'Comedies', 'International Movies']"
Catherine Hardwicke,"['Action & Adventure', 'Dramas', 'Romantic Movies']"
Hadrah Daeng Ratu,"['Comedies', 'Dramas', 'International Movies']"
Tommy Chong,"['Comedies', 'Cult Movies']"
Fred Ouro Preto,"['Documentaries', 'International Movies', 'Music & Musicals']"
Mayye Zayed,"['Documentaries', 'International Movies', 'Sports Movies']"
Alessandra de Rossi,"['Dramas', 'International Movies', 'Romantic Movies']"
Ash Brannon,"['Children & Family Movies', 'Comedies', 'Sports Movies']"
 Chris Buck,"['Children & Family Movies', 'Comedies', 'Sports Movies']"
Alaa Eddine Aljem,"['Comedies', 'Dramas', 'Independent Movies']"
Tom Donahue,"['Documentaries', 'International Movies', 'Music & Musicals']"
Roberto De Feo,"['Horror Movies', 'International Movies']"
 Paolo Strippoli,"['Horror Movies', 'International Movies']"
Navot Papushado,"['Action & Adventure', 'Comedies']"
Manuel Alcalá,"['Documentaries', 'International Movies']"
Ricardo Trogi,"['Comedies', 'Dramas', 'International Movies']"
Semi Chellas,"['Dramas', 'Independent Movies']"
Akay Mason,"['Children & Family Movies', 'Dramas', 'International Movies']"
 Abosi Ogba,"['Children & Family Movies', 'Dramas', 'International Movies']"
Viridiana Lieberman,"['Documentaries', 'Sports Movies']"
Nima Nourizadeh,"['Action & Adventure', 'Comedies']"
Daniel Růžička,['Stand-Up Comedy']
Juraj Šajmovič,"['Comedies', 'Documentaries', 'International Movies']"
Leigh Janiak,"['Horror Movies', 'LGBTQ Movies']"
Femi D. Ogunsanwo,"['Comedies', 'Dramas', 'International Movies']"
Douglas Attal,"['Action & Adventure', 'Dramas', 'International Movies']"
Kim Joo-hyung,['Stand-Up Comedy']
Avi Federgreen,['Thrillers']
Jericca Cleland,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
 Kevin Munroe,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Ahmed Siddiqui,"['Comedies', 'International Movies']"
Hallie Meyers-Shyer,"['Comedies', 'Dramas', 'Romantic Movies']"
