Director,Genre(s)
Kirsten Johnson,['Documentaries']
Julien Leclercq,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure', 'Action & Adventure', 'Dramas', 'International Movies', 'Thrillers']"
Mike Flanagan,"['TV Dramas', 'TV Horror', 'TV Mysteries', 'Horror Movies', 'Thrillers']"
Robert Cullen,['Children & Family Movies']
 José Luis Ucha,['Children & Family Movies']
Haile Gerima,"['Dramas', 'Independent Movies', 'International Movies']"
Andy Devonshire,"['British TV Shows', 'Reality TV']"
Theodore Melfi,"['Comedies', 'Dramas']"
Kongkiat Komesiri,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
Christian Schwochow,"['Dramas', 'International Movies']"
Bruno Garotti,"['Children & Family Movies', 'Comedies', 'International Movies', 'Romantic Movies']"
Pedro de Echave García,"['Documentaries', 'International Movies']"
 Pablo Azorín Williams,"['Documentaries', 'International Movies']"
Adam Salky,['Thrillers']
Olivier Megaton,"['Crime TV Shows', 'Docuseries', 'International TV Shows', 'Action & Adventure', 'Dramas', 'Independent Movies']"
K.S. Ravikumar,"['Comedies', 'International Movies']"
Alex Woo,['Children & Family Movies']
 Stanley Moore,['Children & Family Movies']
S. Shankar,"['Comedies', 'International Movies', 'Romantic Movies']"
Rajiv Menon,"['Comedies', 'International Movies', 'Music & Musicals', 'Dramas']"
Dennis Dugan,"['Comedies', 'Action & Adventure']"
Scott Stewart,"['Horror Movies', 'Sci-Fi & Fantasy', 'Comedies', 'Action & Adventure']"
Robert Luketic,"['Thrillers', 'Comedies', 'Romantic Movies', 'Dramas', 'Action & Adventure']"
Ashwiny Iyer Tiwari,"['Dramas', 'Independent Movies', 'International Movies', 'Comedies']"
 Abhishek Chaubey,"['Dramas', 'Independent Movies', 'International Movies', 'International TV Shows', 'TV Dramas', 'TV Mysteries']"
 Saket Chaudhary,"['Dramas', 'Independent Movies', 'International Movies']"
Daniel Sandu,"['Dramas', 'International Movies', 'Thrillers']"
Cédric Jimenez,"['Action & Adventure', 'Dramas', 'International Movies']"
George Nolfi,"['Action & Adventure', 'Dramas']"
Steven Spielberg,"['Action & Adventure', 'Classic Movies', 'Dramas', 'Children & Family Movies', 'Sci-Fi & Fantasy']"
Jeannot Szwarc,"['Dramas', 'Horror Movies', 'Thrillers']"
Joe Alves,"['Action & Adventure', 'Horror Movies', 'Thrillers']"
Joseph Sargent,"['Action & Adventure', 'Horror Movies', 'Thrillers', 'Dramas']"
Tyler Greco,['Documentaries']
Daniel Espinosa,['Action & Adventure']
Bunmi Ajakaiye,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies', 'Comedies', 'International Movies', 'Romantic Movies']"
Antoine Fuqua,"['Dramas', 'Thrillers', 'Action & Adventure']"
Toshiya Shinohara,"['Action & Adventure', 'Anime Features', 'International Movies']"
Toshiya Shinohara,"['Action & Adventure', 'Anime Features', 'International Movies']"
Toshiya Shinohara,"['Action & Adventure', 'Anime Features', 'International Movies']"
Toshiya Shinohara,"['Action & Adventure', 'Anime Features', 'International Movies']"
Masahiko Murata,"['Action & Adventure', 'Anime Features', 'International Movies']"
Hajime Kamegaki,"['Action & Adventure', 'Anime Features', 'International Movies']"
Masahiko Murata,"['Action & Adventure', 'Anime Features', 'International Movies']"
Hajime Kamegaki,"['Action & Adventure', 'Anime Features', 'International Movies']"
Masahiko Murata,"['Action & Adventure', 'Anime Features', 'International Movies']"
Hirotsugu Kawasaki,"['Action & Adventure', 'Anime Features', 'International Movies']"
Toshiyuki Tsuru,"['Action & Adventure', 'Anime Features', 'International Movies']"
Tensai Okamura,"['Action & Adventure', 'Anime Features', 'International Movies', 'Anime Series', 'International TV Shows']"
David Yarovesky,['Children & Family Movies']
Hanns-Bruno Kammertöns,"['Documentaries', 'International Movies', 'Sports Movies']"
 Vanessa Nöcker,"['Documentaries', 'International Movies', 'Sports Movies']"
 Michael Wech,"['Documentaries', 'International Movies', 'Sports Movies']"
David A. Vargas,['Children & Family Movies']
