genre,director,counts
action-adventure,Bradley Raymond,5
animals & nature,James Algar,9
animation,Jack Hannah,17
anthology,Clyde Geronimi,2
biographical,Kentaro Takayanagi,3
buddy,Pete Docter,3
comedy,John Lasseter,12
coming of age,Paul Hoen,11
concert film,Bruce Hendricks,2
crime,Alan Shapiro,1
dance,Beyoncé Knowles-Carter,1
disaster,Craig Gillespie,1
documentary,James Algar,9
drama,Paul Hoen,5
family,Jack Hannah,17
fantasy,Robert Stevenson,6
historical,Norman Foster,2
kids,Robert Vince,5
lifestyle,Chris Wilson,2
medical,Chris Hamilton,1
music,Paul Hoen,4
musical,Kenny Ortega,6
mystery,Jon Turteltaub,2
parody,Jack Kinney,2
reality,Chris Wilson,2
romance,Andy Tennant,1
romantic comedy,P.J. Hogan,1
science fiction,Anthony Russo,4
sports,Paul Hoen,3
spy/espionage,Adam Shankman,1
superhero,Anthony Russo,2
survival,Edward Ludwig,1
thriller,Jon Turteltaub,2
variety,Dave Hoffman,1
western,Vincent McEveety,2
