Directors
Kirsten Johnson
Julien Leclercq
Mike Flanagan
Robert Cullen
 José Luis Ucha
Haile Gerima
Andy Devonshire
Kongkiat Komesiri
Christian Schwochow
Bruno Garotti
Pedro de Echave García
 Pablo Azorín Williams
Adam Salky
Olivier Megaton
K.S. Ravikumar
Alex Woo
 Stanley Moore
S. Shankar
Rajiv Menon
Dennis Dugan
Scott Stewart
Ashwiny Iyer Tiwari
 Abhishek Chaubey
 Saket Chaudhary
Cédric Jimenez
George Nolfi
Jeannot Szwarc
Joe Alves
Tyler Greco
Daniel Espinosa
Bunmi Ajakaiye
Antoine Fuqua
Toshiya Shinohara
Masahiko Murata
Hajime Kamegaki
Hirotsugu Kawasaki
Toshiyuki Tsuru
Tensai Okamura
David Yarovesky
Hanns-Bruno Kammertöns
 Vanessa Nöcker
 Michael Wech
Kemi Adetiba
Ben Simms
Prakash Satam
Delhiprasad Deenadayalan
Tomer Eshed
Cedric Nicolas-Troyan
JJC Skillz
 Funke Akindele
Thomas Sieben
Marcus Clarke
Alice Waddington
Mona Achache
 Patricia Tourancheau
Alexis Almström
Stephen Kijak
Chapman Way
 Maclain Way
Jason Hehir
Yemi Amodu
Lijo Jose Pellissery
David de Vos
Luis Alfaro
 Javier Gómez Santander
Sara Colangelo
Jane Campion
Nagesh Kukunoor
Luke Holland
JP Habac
Vidhu Vinod Chopra
Mark Rosman
Scott Pleydell-Pearce
Neill Blomkamp
Anthony Minghella
Sebastián Schindel
Richard LaGravenese
George Jackson
 Doug McHenry
Eric Meza
Gerhard Mostert
Michael Martin
Michael Rymer
Andrew Lau Wai-keung
Brett Weiner
Danishka Esterhazy
Troy Byer
Pang Ho-cheung
Kinka Usher
Sergio Leone
 Todd Wilderman
Bobby Farrelly
 Peter Farrelly
Wolfgang Petersen
Peter Spirer
Amy Rice
Evan Goldberg
 Seth Rogen
Malcolm D. Lee
Ramzy Bedia
 Éric Judor
Sharan Koppisetty
Taylor Sheridan
Sachin Yardi
Saurabh Kabra
Partho Mitra
Santram Varma
Anil V. Kumar
 Anurag Basu
Sangeeth Sivan
Umesh Ghadge
Apoorva Lakhia
Milan Luthria
Pawan Kripalani
Bhushan Patel
Magnus Martens
Raj Nidimoru
 Krishna D.K.
Joshua Rofé
Mauricio Dias
 Tatiana Villela
Angel Kristi Williams
Christopher Alender
Rush Sturges
David Oyelowo
Mark Lo
Crystal Moselle
Rathindran R Prasad
Han Kwang Il
Karim El Shenawy
Yin Chen-hao
Brian Andrew Mendoza
Dave Needham
Veronica Velasco
Miguel Alexandre
Mani Ratnam
Michael Harte
Tosin Igho
Alice Filippi
Paakhi Tyrewala
Laura Brownson
Steve Brill
Moses Inwang
Ferdinando Cito Filomarino
Juan Carlos Medina
Inma Torrente
Julián Gaviria
Steven Yamamoto
Charles Uwagbai
Julián Hernández
Sam Hobkinson
Vince Marcello
Jonathan Teplitzky
Sakon Tiacharoen
Floyd Russ
Dustin Hoffman
Adze Ugah
Hideaki Takizawa
Quoc Bao Tran
 Priyadarshan
 Karthik Narain
 Vasanth Sai
 Arvind Swamy
 Rathindran R Prasad
 Sarjun
Kayode Kasum
Just Philippot
Kirk DeMicco
 Brandon Jeffords
Rohit Shetty
 Luciano Vidigal
Alejandro Doria
Marcelo Piñeyro
Izu Ojukwu
Peter Winther
Susan Lacy
Billy Corben
James Mangold
Chineze Anyaene
Hsu Fu-chun
Kristine Stolakis
Eva Müller
 Michael Schmitt
Todor Chapkanov
Phil Lord
 Christopher Miller
John Hughes
Joe Roth
Mark Helfrich
Mag Hsu
 Hsu Chih-yen
Christopher Nolan
Howard Zieff
David Feiss
Jorge Blanco
Zara Hayes
Clint Eastwood
Trey Parker
Kelly Fremon Craig
Tom Elkins
Tony Scott
Irwin Winkler
Kenneth Gyang
Jaume Balagueró
Najwa Najjar
Selçuk Metin
Keishi Otomo
David Charhon
Michelle Bello
Daniel Markowicz
Glen Winter
David Benullo
Laxman Utekar
Royale Watkins
 Rich Schlansker
Yuval Adler
Quentin Tarantino
Muzi Mthembu
Marcos Bucay
Peter Thorwarth
Kim Seong-hun
Augustine Frizzell
Sidheswar Shukla
Rajiv Chilaka
Binayak Das
Arpan Sarkar
 Shyamal Chaulia
 Owll Mina
Ainsley Gardiner
 Briar Grace-Smith
Mahmoud Karim
Kyohei Ishiguro
Seyi Babatope
Johane Matte
 Andrew L. Schmidt
 Francisco Ruiz Velasco
Morgan Ingari
Abdulaziz Alshlahei
Kathryn Fasegha
Sita Likitvanichkul
 Jetarin Ratanaserikiat
 Apirak Samudkitpaisan
 Thanabodee Uawithya
 Adirek Wattaleela
Leigh Janiak
Luis Estrada
Sofia Coppola
Colin Trevorrow
Chris Weitz
Catherine Hardwicke
Hadrah Daeng Ratu
Tommy Chong
Fred Ouro Preto
Mayye Zayed
Alessandra de Rossi
Ash Brannon
Alaa Eddine Aljem
Tom Donahue
Roberto De Feo
 Paolo Strippoli
Navot Papushado
Manuel Alcalá
Ricardo Trogi
Semi Chellas
Akay Mason
 Abosi Ogba
Viridiana Lieberman
Nima Nourizadeh
Daniel Růžička
Juraj Šajmovič
Femi D. Ogunsanwo
Douglas Attal
Kim Joo-hyung
Avi Federgreen
Jericca Cleland
 Kevin Munroe
Ahmed Siddiqui
Hallie Meyers-Shyer
Barry Levinson
Tolulope Itegboje
Oleg Trofim
Mahmood Ali-Balogun
Jan Holoubek
Anurin Nwunembom
 Musing Derrick
Christine Luby
Udoka Oyeka
Yeo Siew Hua
Hardik Mehta
Rajveer Singh Maan
 Harpeet Singh
Youssef Chahine
Saw Teong Hin
 Nik Amir Mustapha
 M.S. Prem Nath
Rano Karno
Pramod Pawar
Naresh Saigal
Vinil Mathew
Neri Parenti
Ramsey Nouah
Bong Joon Ho
Kim Tae-hyung
Michael Spierig
 Peter Spierig
Matt Ogens
McG
Victor Vu
Chow Hin Yeung Roy
John Stevenson
 Mark Osborne
Jennifer Yuh Nelson
Greg Berlanti
Garth Davis
Malik Nejer
Martin Brest
Shuko Murase
Ivan Reitman
Joel Gallen
Claire McCarthy
Sidharta Tata
 Aco Tenriyagelli
 Dian Sastrowardoyo
 Ifa Isfansyah
