Director,Genre(s)
Kurt Mattila,['Documentary']
Barry Cook,"['Action-Adventure, Family, Fantasy', 'Action-Adventure, Animation, Comedy']"
 Neil Nightingale,"['Action-Adventure, Family, Fantasy']"
Andy Seestedt,"['Animals & Nature, Documentary']"
Cameron Crowe,"['Animals & Nature, Drama, Family']"
Kevin Bachar,"['Animals & Nature, Documentary']"
Michael Mayer,"['Animals & Nature, Coming of Age, Drama']"
Thomas Astruc,"['Animation, Fantasy', 'Action-Adventure, Animation, Fantasy']"
Sigmund Spath Jr.,"['Animals & Nature, Documentary']"
Mark Woodward,"['Animals & Nature, Documentary']"
Sally Aitken,"['Animals & Nature, Documentary']"
Jacob Cobi Benattia,"['Animals & Nature, Documentary']"
 Pete Berg,"['Animals & Nature, Documentary']"
 James Buchanan,"['Animals & Nature, Documentary']"
Mark Woodward,"['Animals & Nature, Documentary']"
David Silverman,"['Animation, Comedy', 'Animation, Comedy, Fantasy', 'Animation, Comedy, Parody', 'Action-Adventure, Animation, Comedy']"
David Mickey Evans,"['Comedy, Coming of Age, Family', 'Comedy, Sports']"
David Mickey Evans,"['Comedy, Coming of Age, Family', 'Comedy, Sports']"
Chris Columbus,"['Comedy, Drama', 'Action-Adventure, Comedy, Coming of Age', 'Comedy, Family', 'Action-Adventure, Family, Fantasy']"
David Gelb,"['Biographical, Documentary']"
Enrico Casarosa,"['Animation, Buddy, Coming of Age', 'Animation, Coming of Age, Family']"
Gary Rydstrom,"['Action-Adventure, Animation, Family', 'Animation, Comedy, Family']"
Norman Tokar,"['Biographical, Coming of Age, Family', 'Comedy, Coming of Age, Crime', 'Animals & Nature, Comedy, Family', 'Comedy, Family, Sports', 'Comedy, Family, Western', 'Comedy, Family, Science Fiction', 'Animals & Nature, Drama, Family']"
Adam Shankman,"['Action-Adventure, Comedy, Spy/Espionage', 'Comedy, Family', 'Comedy, Family, Fantasy']"
Don Hall,"['Action-Adventure, Animation, Family', 'Animation, Comedy, Family']"
 Carlos López Estrada,"['Action-Adventure, Animation, Family']"
Anthony Hemingway,"['Action-Adventure, Drama, Historical']"
Zach A. Parrish,"['Animation, Dance, Family']"
Aqsa Altaf,['Drama']
Hao Zheng,"['Coming of Age, Drama']"
Ann Marie Pace,"['Coming of Age, Fantasy']"
Stephanie Abel Horowitz,['Drama']
Jessica Mendez Siqeiros,['Fantasy']
Moxie Peng,['Drama']
Steve Loter,"['Action-Adventure, Animation, Fantasy', 'Action-Adventure, Animation, Coming of Age', 'Action-Adventure, Animation']"
Brett Ratner,"['Action-Adventure, Family, Science Fiction']"
Tim Story,"['Action-Adventure, Family, Science Fiction']"
Steve Miner,"['Biographical, Drama']"
David Silverman,"['Animation, Comedy', 'Animation, Comedy, Fantasy', 'Animation, Comedy, Parody', 'Action-Adventure, Animation, Comedy']"
Kevin Nolting,"['Animation, Comedy, Family']"
Kentaro Takayanagi,"['Biographical, Documentary, Music']"
Fred Zinnemann,"['Musical, Romance, Western']"
Patrick Read Johnson,"['Action-Adventure, Comedy, Crime']"
Tom Jennings,"['Biographical, Documentary', 'Documentary, Family, Historical']"
Carlos Saldanha,"['Animation, Comedy, Family', 'Action-Adventure, Animation, Comedy']"
Joe Cornish,"['Action-Adventure, Coming of Age, Family']"
Robert Vince,"['Comedy, Fantasy, Kids', 'Action-Adventure, Comedy, Kids', 'Drama, Family, Fantasy', 'Fantasy, Musical', 'Action-Adventure, Comedy, Family']"
Ken Olin,"['Action-Adventure, Animals & Nature, Drama']"
Doug Shultz,"['Biographical, Documentary']"
James Orr,"['Comedy, Coming of Age, Crime']"
Daniel Petrie,"['Biographical, Coming of Age, Drama']"
Xavier Koller,"['Action-Adventure, Biographical, Drama']"
John Korty,"['Action-Adventure, Fantasy, Science Fiction']"
Jim Wheat,"['Action-Adventure, Fantasy, Science Fiction']"
 Ken Wheat,"['Action-Adventure, Fantasy, Science Fiction']"
Robert Stevenson,"['Action-Adventure, Fantasy, Survival', 'Drama, Family, Historical', 'Action-Adventure, Comedy, Family', 'Family, Fantasy, Romance', 'Comedy, Family, Romantic Comedy', 'Family, Fantasy, Musical', 'Animals & Nature, Drama, Family', 'Animals & Nature, Comedy, Family', 'Comedy, Family, Science Fiction', 'Comedy, Family, Fantasy']"
Shawn Levy,"['Action-Adventure, Comedy, Family', 'Comedy, Family']"
David Frankel,"['Animals & Nature, Comedy']"
Scott Ressler,"['Animals & Nature, Documentary']"
Ken Annakin,"['Action-Adventure, Coming of Age, Family', 'Action-Adventure, Family']"
Kelly Asbury,"['Action-Adventure, Animation, Family']"
Kentaro Takayanagi,"['Biographical, Documentary, Music']"
Chris Hamilton,"['Animation, Kids, Medical']"
Tim Burton,"['Coming of Age, Fantasy', 'Animation, Comedy, Drama', 'Action-Adventure, Family, Fantasy', 'Drama, Parody, Science Fiction']"
Cristina Costantini,"['Documentary', 'Documentary, Family']"
 Darren Foster,"['Documentary', 'Documentary, Family']"
Tim Hill,"['Animation, Comedy, Family', 'Comedy, Family, Kids', 'Comedy, Family']"
Jeff Gipson,"['Animation, Family, Fantasy']"
Dereck Joubert,"['Animals & Nature, Documentary', 'Action-Adventure, Animals & Nature, Family']"
