Directors,Count
Daniel Barber,2
Thomas Lucas,4
Elmer Clifton,3
Derrick Borte,2
Kenny Golde,1
Peter Collinson,1
Allan Dwan,3
Derek Richards,1
 Brad O'Connor,1
Andrea Di Stefano,1
David Alvarado,1
 Jason Sussberg,1
Matthew Wolfe,1
Harry Thomason,1
 Nickolas Perry,1
Bornila Chatterjee,1
Iris Shim,1
David Attwood,4
Tom Putnam,1
Jeremy Lutter,1
Ted Hallock,1
Daniel Farrands,1
Sheldon Lettich,2
Paul Van Carter,1
Steven Luke,1
Arhtur Lubin,1
 Arthur Lubin,1
Michael Palmieri,1
 Donal Mosher,1
Chet Brewster,1
David Yuzuk,1
Johannes Nyholm,1
Rick Beyer,1
William Witney,6
Karel Reisz,1
Martin Ritt,4
Greydon Clark,2
A. Edward Sutherland,1
Kevin Knoblock,1
George Waggner,1
Lulu Wang,2
D.C. Hamilton,1
Jon Garcia,1
Dane Wilson,1
Ken Scott,2
Bruce Brown,1
Richard Friedenberg,1
Clarence Brown,1
Peter Flynn,1
Tony Randel,3
Aziz Jindani,1
Billy Senese,1
Michael McCaffrey,3
Dan Bush,1
Juliane Block,1
Matthew Currie Holmes,1
M.A. Taylor,1
Freddie Francis,2
H.C. Potter,1
 Stuart Heisler,1
 William Wyler,3
Brian Jun,1
Melvin Frank,1
 Norman Panama,1
Bernard Vorhaus,1
David Greene,1
Timothy A. Smith,1
Ron Scalpello,1
Lewin Webb,1
Marcus Dunstan,1
Antony Smith,1
Terry Ingram,2
John Sturges,2
Brett Jubinville,2
Aaron Cadieux,1
 Manny Famolare,1
Mark Robson,6
Mario Ribero Ferreira,1
John N. Smith,2
Norman Stone,1
Martha Burr,1
Roy Battersby,1
Henry Koster,1
Phil Karlson,4
Louise Osmond,1
Don Coscarelli,2
Malcolm Leo,1
Rich Cowan,2
Eran Kolirin,1
Sue Lyon,1
Daniel Zirilli,3
Mikkel Brænne Sandemose,1
Josef Rusnak,1
Ib Melchior,2
Callie T. Wiser,1
Joseph J Graber,1
Alfred Zeisler,1
Ralph Staub,1
Albert S. Rogell,1
Luis Libran,1
 Carl June,1
Liu Chia-liang,3
Ernst Lubitsc,1
Damon Gameau,1
Anubhav Sushila Sinha,2
Tester,1
Don Bitters,1
 Geoff Reisner,1
Roy William Neill,5
Earl Goshorn,1
Mitsuru Hongo,1
Brian Vance,1
Sameh Zoabi,1
Doug Campbell,9
Blaine Thurier,1
Bobby J. Brown,1
Matt Danner,2
Eric Schwartz,1
H. Bruce Humberstone,2
Harry Watt,1
Adrian Younge,1
C S Amudhan,1
Jeremy Haft,2
Andrew Waller,1
Milind Zumber Kavde,1
Enrique Gato,2
 David Alonso,1
Aaron Michael,11
Mark Knight DIrector,1
Surender Reddy,1
Surrender Reddy,3
Rick Rosenthal,2
Super JoJo,1
Bruce Legg,10
Michael Dominic,1
REEL,1
Timothy Galfas,1
Raoul W. Heimrich,1
 Yvonne Wunschel,1
Sharat Katariya,1
Naranippuzha Shanavas,1
Daniel Millican,1
Dania Pasquini,1
 Max Giwa,1
Anthony Mann,1
Arthur van Merwijk,30
Shawn Seet,1
Conor McMahon,1
Tommy Walton,1
Michael McGowan,2
Catlin Adams,1
Jeroen Jaspaert,1
 Daniel Snaddon,1
Rick Cikowski,1
Steve Hofstetter,1
Jeff Burr,1
Harry S. Webb,1
Mark Obenhaus,1
Tristan Dubois,3
Derek Wayne Johnson,1
Karen Lam,1
Frank Borzage,2
Uri Barbash,1
Phil Rosen,2
Michael J.F. Scott,1
Stéphane Rybojad,1
Mark Knioght,1
Kate Barker-Froyland,1
Rowland V. Lee,2
Carl Hunter,1
Victor Schertzinger,1
Ice-T,1
Dan Wolman,1
Max Ksjonda,1
John Reinhardt,3
Theresa Bennett,1
Michael Hoffman,1
Tom Vaughan,3
Sheldon Cohen,1
George Erschbamer,3
Vikram Phadnis,1
David van Eyssen,1
Elliott Lester,1
Don McLennan,1
Barnet Kellman,1
Robert F. Hill & Sam Katzman,1
 Robert F. Hill,1
 Sam Katzman,1
Daniel Knudsen,3
Pi Ware,1
Monty Miranda,1
Ralph Straub,1
 Ralph Staub,1
John Ferry,1
Teja,2
Christian Trumble,1
Lewis D. Collins,1
Habib Azar,1
Edward F. Finney,1
Thomas Bentley,1
Robert Orlando,1
Hemant Madhukar,7
Cess Silvera,1
Rahul V. Chittella,1
 Amira Bhargava,1
 Annie Zaidi,1
 Pratik Rajen Kothari,1
 Supriya Sharma,1
 Arunima Sharma,1
 Satish Raj Kasireddi,1
Ajay Devgn,1
Douglas Hickox,1
Vernon Snoop Robinson,1
Desmond Devenish,1
Christian Darkin,1
Hsin-Yen Chang,1
Nick Bicanic,1
 Jason Bourque,1
Jagdeep Singh,1
Padmasri,1
Isaac Feder,1
Monja Art,1
Howard Avedis,1
Melissa Finell,1
Brad Silverman,1
Tayarisha Poe,1
David Allen,2
Alex Marengo,1
Austin Everett,1
Mike Edwards,1
Nico Edwards,1
Rand Marsh,1
Allison Eckert,1
Stewart Wade,1
Kanak Mishra,1
Chandoo Mondeti,1
Johnny Remo,1
Chioke Nassor,1
Jarett Bellucci,1
Clenét Verdi-Rose,1
John English,20
Arthur Greville Collins,2
Sethuraman,1
Ryan Little,2
Siddharth Vasani,2
Milton Lage,6
Ajay Bhupathi,1
Ravi Varma,1
Steven Stainberg,1
Nancy Criss,1
Catherine Bainbridge,1
 Alfonso Maiorana (Co-Director),1
Nick Nanton,2
Scott Sikma,1
Michael Hurst,1
William Berke,3
Thadd Turner,1
Rob Schneider,1
Alfredo Ramos,1
Andy Casagrande,1
Helen Hunt,1
Michael Pack,1
David Pritchard,1
Jodi Flynn,1
 Brent Montgomery,1
Keith Truesdell,2
Nigel Simpkiss,1
John H. Auer,1
Sockeye Media LLC,1
Fred Jackman,1
Chadd Harbold,1
Jimmy Shaw,1
Stephan Blinn,1
Al Herman,1
Julie Nimoy,1
 David Knight,1
Nathan Mowery,1
Arthur Dreifuss,1
Gary Lundgren,2
Ernesto Diaz Espinoza,1
Izhak Hanooka,1
George Marshall,1
Terry Miles,2
Maria Agui Carter,1
Lou Antonio,1
Edmond Goulding,1
Sukumar,1
Jonas Åkerlund,3
Hannes Rossacher,1
John Matthews,2
 Richard Heap,1
Max Mannix,1
Sam Wood,3
Marjane Satrapi,1
Andy Sidaris,1
Remo Dsouza,1
Meghna Gulzar,1
Mathieu Orcel,1
AK. Reed Films (Amire k reed),1
AK. Reed Films  (Amire k reed),1
