type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
TV Show,Disney Fancy Nancy,,"Mia Jenness, Alyson Hannigan, Rob Riggle, Spencer Moss, Dana Heath",2021-11-12,2018,3 Seasons,"Animation, Kids",2
TV Show,Disney Intertwined,,"Carolina Domenech, José Jiménez Zapiola, Kevsho, Elena Roger, Clara Alonso, Emilia Mernes",2021-11-12,2021,1 Season,"Comedy, Coming of Age, Drama",3
Movie,Enchanted,Kevin Lima,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Susan Sarandon",2021-11-12,2007,110 min,"Comedy, Family, Fantasy",3
Movie,Feast,Patrick Osborne,"Stephen Apostolina, Kirk Baily, Ben Bledsoe, David Cowgill, Terri Douglas, Fuschia!",2021-11-12,2014,8 min,"Animation, Comedy, Drama",3
Movie,Frozen Fever,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Chris Williams",2021-11-12,2015,11 min,"Animation, Family, Fantasy",3
Movie,Get a Horse!,Lauren MacMullan,"Walt Disney, Marcellite Garner, Russi Taylor, Billy Bletcher, Will Ryan, Bob Bergen",2021-11-12,2013,7 min,"Action-Adventure, Animation, Comedy",3
Movie,Home Sweet Home Alone,Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, Kenan Thompson, Tim Simons",2021-11-12,2021,95 min,"Comedy, Family",2
Movie,Jungle Cruise,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramirez, Jack Whitehall, Jesse Plemons, Paul Giamatti",2021-11-12,2021,129 min,"Action-Adventure, Comedy, Family",3
Movie,Limitless with Chris Hemsworth,,Chris Hemsworth,2021-11-12,2021,2 min,Lifestyle,1
Movie,Marvel Studios’ 2021 Disney+ Day Special,,,2021-11-12,2021,14 min,Movies,1
Movie,Obi-Wan Kenobi,,,2021-11-12,2021,1 min,"Action-Adventure, Science Fiction",2
TV Show,Olaf Presents,,Josh Gad,2021-11-12,2021,1 Season,"Animation, Family",2
Movie,Paperman,John Kahrs,"John Kahrs, Kari Wahlgren",2021-11-12,2012,7 min,"Animation, Comedy, Family",3
Movie,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",2021-11-12,2021,5 min,Movies,1
Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley",2021-11-12,2021,134 min,"Action-Adventure, Fantasy, Superhero",3
Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",2021-11-12,2021,94 min,"Coming of Age, Music",2
Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",2021-11-12,2012,9 min,"Animation, Family",2
Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,2021-11-12,2011,8 min,"Animation, Family, Fantasy",3
Movie,The Little Matchgirl,Roger Allers,,2021-11-12,2006,7 min,"Animation, Drama",2
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",2021-11-12,2021,30 min,"Concert Film, Music",2
Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",2021-11-12,2021,1 min,"Animation, Comedy, Coming of Age",3
Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",2021-11-12,2021,6 min,"Animation, Comedy",2
Movie,Tick Tock Tale,Dean Wellins,,2021-11-12,2010,6 min,"Animation, Crime, Family",3
Movie,Under the Helmet: The Legacy of Boba Fett,,,2021-11-12,2021,22 min,Science Fiction,1
Movie,Willow,,,2021-11-12,2021,3 min,"Action-Adventure, Fantasy",2
Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",2021-11-05,2011,87 min,"Comedy, Family, Music",3
Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",2021-11-05,1996,90 min,"Comedy, Family",2
Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",2021-11-05,2014,91 min,"Comedy, Family",2
Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",2021-11-05,2010,8 min,"Animation, Family, Fantasy",3
Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae",2021-11-05,2009,93 min,"Comedy, Fantasy, Kids",3
Movie,Snow Buddies,Robert Vince,"Dominic Scott Kay, John Kapelos, Lise Simms, Mike Dopud, Charles C. Stevenson Jr., Dylan Minnette",2021-11-05,2008,91 min,"Action-Adventure, Comedy, Kids",3
Movie,Space Buddies,Robert Vince,"F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross, Mike Dopud, Mark Downey",2021-11-05,2009,87 min,"Action-Adventure, Comedy, Kids",3
Movie,The Search for Santa Paws,Robert Vince,"Resse Alexander, Diedrich Bader, Sahar Biniaz, Jan Boss, Ameko Eks Mass Carroll, Melody Choi",2021-11-05,2010,101 min,"Drama, Family, Fantasy",3
Movie,X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Rose Byrne, Jennifer Lawrence, January Jones, Nicholas Hoult",2021-11-05,2011,132 min,"Action-Adventure, Science Fiction, Superhero",3
TV Show,Disney Amphibia,,"Justin Felbinger, Amanda Leighton, Bill Farmer, Brenda Song",2021-11-03,2018,3 Seasons,"Animation, Comedy, Family",3
TV Show,Photo Ark,,Joel Sartore,2021-11-03,2017,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,Storm Rising,,,2021-11-03,2021,1 Season,"Action-Adventure, Animals & Nature, Docuseries",3
Movie,Bob Ballard: An Explorer's Life,,,2021-10-29,2021,44 min,"Biographical, Documentary",2
Movie,"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Morgan Saylor, Martha Higareda, Michael Aguero, Sergio Avelar",2021-10-29,2015,131 min,"Drama, Sports",2
Movie,Rookie of the Year,Daniel Stern,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Eddie Bracken",2021-10-22,1993,104 min,"Comedy, Family, Sports",3
Movie,Thumbelina,"Don Bluth, Gary Goldman","Gino Conforti, Barbara Cook, Jodi Benson, Will Ryan, June Foray, Kenneth Mars",2021-10-22,1994,87 min,"Animation, Family, Fantasy",3
TV Show,PJ Masks,,"Kyle Breitkopf, Jacob Ursomarzo, Addison Holley",2021-10-20,2015,5 Seasons,"Action-Adventure, Animation, Kids",3
TV Show,The Wild Life of Dr. Ole,,,2021-10-20,2021,1 Season,"Animals & Nature, Reality",2
Movie,Lost Cities with Albert Lin: The Great Flood,Jim Greayer,Dr. Albert Yu-Min Lin,2021-10-15,2021,44 min,"Documentary, Historical",2
Movie,Megacity of the Maya Warriors,Ben Crichton,Albert Lin,2021-10-15,2021,44 min,Documentary,1
TV Show,Apollo: Back To The Moon,,"Bill Anders, Jack Clemons, Fred Haise, Glynn Lunney, Jay Barbree, Brad Vinikow",2021-10-13,2019,1 Season,"Docuseries, Historical",2
TV Show,Just Beyond,,"Mckenna Grace, Lexi Underwood, Cedric Joe, Tim Heidecker, Riki Lindhome, Nasim Pedrad",2021-10-13,2021,1 Season,"Anthology, Comedy, Coming of Age",3
TV Show,Secrets Of The Zoo: Down Under,,Naomi Watts,2021-10-13,2020,2 Seasons,"Animals & Nature, Docuseries, Family",3
TV Show,Secrets of the Zoo: North Carolina,,,2021-10-13,2020,1 Season,Reality,1
TV Show,The Wizard of Paws,,,2021-10-13,2021,1 Season,"Animals & Nature, Docuseries, Medical",3
TV Show,Zombies: Addison's Moonstone Mystery,,,2021-10-13,2020,1 Season,"Animation, Coming of Age, Fantasy",3
Movie,Just Roll With It: You Decide Live!,,"Tobie Windham, Suzi Barrett, Ramon Reed, Kaylin Hayman, JC Currais, Raven-Symoné",2021-10-08,2019,52 min,Comedy,1
Movie,Mickey's Tale of Two Witches,Jeff Gordon,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Daniel Ross, Tress MacNeille, Jim Cummings",2021-10-08,2021,47 min,"Animation, Family, Fantasy",3
Movie,Muppets Haunted Mansion,Kirk Thatcher,"Dave Goelz, Bill Barretta, Will Arnett, Taraji P. Henson, Yvette Nicole Brown, Darren Criss",2021-10-08,2021,53 min,"Comedy, Family, Musical",3
Movie,The Most Magical Story on Earth: 50 Years of Walt Disney World,Dave Hoffman,"Whoopi Goldberg, Christina Aguilera, Halle Bailey, Orlando Philharmonic Orchestra, Anthony Anderson, Tom Brady",2021-10-08,2021,85 min,"Family, Variety",2
Movie,Under Wraps,Alex Zamm,"Malachi Barton, Christian J. Simon, Sophia Hammons, Melanie Brook, Brent Stait, Jordana Largy",2021-10-08,2021,92 min,"Action-Adventure, Comedy, Kids",3
TV Show,Among the Stars,,Chris Cassidy,2021-10-06,2021,1 Season,Docuseries,1
Movie,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Rachel Weisz, Ray Winstone",2021-10-06,2021,135 min,"Action-Adventure, Science Fiction, Spy/Espionage",3
TV Show,Drain the Oceans,,Russell Boulter,2021-10-06,2017,4 Seasons,"Docuseries, Historical",2
TV Show,Drain The Oceans: The Mississippi River & Arctic War,,Kerry Shale,2021-10-06,2021,1 Season,"Docuseries, Historical",2
Movie,Fauci,"John Hoffman, Janet Tobias","Dr. Anthony Fauci, Bono, George W. Bush, Peter Staley",2021-10-06,2021,105 min,"Biographical, Documentary",2
TV Show,IMPACT with Gal Gadot,,Gal Gadot,2021-10-06,2021,1 Season,Docuseries,1
TV Show,The Ghost and Molly McGee,,"Ashly Burch, Dana Snyder",2021-10-06,2021,1 Season,"Animation, Buddy, Coming of Age",3
Movie,Alvin and the Chipmunks,Tim Hill,"Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler",2021-10-01,2007,91 min,"Animation, Comedy, Family",3
Movie,Alvin and the Chipmunks: The Road Chip,Walt Becker,"Jason Lee, Tony Hale, Kimberly Williams-Paisley, Josh Green, Bella Thorne, Uzo Aduba",2021-10-01,2015,92 min,"Comedy, Family, Music",3
Movie,LEGO Star Wars Terrifying Tales,Ken Cunningham,"Jake Green, Raphael Alejandro, Dana Snyder, Tony Hale, Christian Slater, Trevor Devall",2021-10-01,2021,47 min,"Action-Adventure, Animation, Science Fiction",3
Movie,Maleficent,Robert Stromberg,"Angelina Jolie, Sharlto Copley, Elle Fanning, Sam Riley, Imelda Staunton, Juno Temple",2021-10-01,2014,99 min,"Action-Adventure, Family, Fantasy",3
Movie,The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Alonso Ramirez Ramos, Eddie Trigueros, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor",2021-10-01,2017,22 min,"Animation, Family, Parody",3
TV Show,Disney Vampirina,,"Isabella Crovetti, Lauren Graham, James Van Der Beek, Jordan Davis, Wanda Sykes, Mitchell Whitfield",2021-09-29,2017,3 Seasons,"Animation, Fantasy, Kids",3
TV Show,Disney's Magic Bake-Off,,"Issac Ryan Brown, Dara Reneé, Graciela Gomez",2021-09-29,2021,1 Season,"Family, Game Show / Competition",2
TV Show,Great Barrier Reef,,Don Halbert,2021-09-29,2020,1 Season,"Animals & Nature, Docuseries",2
TV Show,Ready for Preschool,,,2021-09-29,2019,2 Seasons,"Kids, Music",2
TV Show,Rolie Polie Olie,,"Cole Caplan, Kristen Bone, Robert Smith, Catherine Disher, Adrian Truss, Len Carlson",2021-09-29,1998,5 Seasons,"Animation, Science Fiction",2
TV Show,Star Wars Galaxy of Sounds,,,2021-09-29,2021,1 Season,"Animation, Anthology, Science Fiction",3
TV Show,The Hatcher Family Dairy,,,2021-09-29,2021,1 Season,"Animals & Nature, Docuseries, Reality",3
TV Show,The Simpsons,,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Pamela Hayden",2021-09-29,1989,32 Seasons,"Animation, Comedy",2
Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",2021-09-24,2021,88 min,Documentary,1
Movie,Spooky Buddies,Robert Vince,"Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles, Tim Conway, Jennifer Elise Cox",2021-09-24,2011,93 min,"Comedy, Fantasy, Kids",3
Movie,The Fault in Our Stars,Josh Boone,"Shailene Woodley, Ansel Elgort, Laura Dern, Sam Trammell, Nat Wolff, Willem Dafoe",2021-09-24,2014,127 min,"Coming of Age, Drama, Romance",3
TV Show,Dog: Impossible,,Matt Beisner,2021-09-22,2019,2 Seasons,"Animals & Nature, Docuseries, Family",3
TV Show,Spidey And His Amazing Friends,,"Benjamin Valic, Lily Sanfelippo, Jakari Fraser, Dee Bradley Baker, Melanie Minichino",2021-09-22,2021,1 Season,"Action-Adventure, Animation, Kids",3
TV Show,Star Wars: Visions,,,2021-09-22,2021,1 Season,"Action-Adventure, Animation, Anime",3
Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",2021-09-17,2009,106 min,"Comedy, Romance, Romantic Comedy",3
Movie,Descendants: Royal Wedding,Salvador Simó,"Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson",2021-09-17,2021,22 min,"Animation, Fantasy, Musical",3
Movie,Disney's Broadway Hits at London's Royal Albert Hall,Jay Hatcher,"John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White",2021-09-17,2016,116 min,"Concert Film, Music",2
Movie,Flooded Tombs of the Nile,Katie Bauer Murdock,Devin E. Haqq,2021-09-17,2021,44 min,Documentary,1
Movie,Jade Eyed Leopard,,Jeremy Irons,2021-09-17,2020,44 min,"Animals & Nature, Documentary",2
Movie,Nona,Louis Gonzales,,2021-09-17,2021,9 min,"Animation, Comedy, Family",3
Movie,Smoky Mountain Park Rangers,,Peter Jessop,2021-09-17,2021,42 min,"Animals & Nature, Documentary",2
TV Show,Life Below Zero,,"Chip Hailstone, Agnes Hailstone, Sue Aikens, Andy Bassich",2021-09-15,2012,16 Seasons,"Action-Adventure, Animals & Nature, Docuseries",3
TV Show,Miraculous: Tales Of Ladybug & Cat Noir,,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen",2021-09-15,2015,1 Season,"Action-Adventure, Animation, Fantasy",3
TV Show,Unknown Waters with Jeremy Wade,,Jeremy Wade,2021-09-15,2021,1 Season,"Animals & Nature, Docuseries",2
Movie,Far Away From Raven’s Home,,"Raven-Symoné, Issac Ryan Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",2021-09-10,2021,11 min,Comedy,1
Movie,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin R. McNally, Sam Claflin",2021-09-10,2011,140 min,"Action-Adventure, Fantasy",2
Movie,Twenty Something,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor, Janelle LaSalle, Napoleon Highbrou",2021-09-10,2021,11 min,"Animation, Family",2
TV Show,"Doogie Kamealoha, M.D.",,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",2021-09-08,2021,1 Season,"Comedy, Coming of Age, Family",3
TV Show,"Mira, Royal Detective",,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",2021-09-08,2020,2 Seasons,"Animation, Fantasy, Kids",3
TV Show,Pepper Ann,,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",2021-09-08,1997,3 Seasons,"Animation, Comedy, Coming of Age",3
TV Show,The Incredible Dr. Pol,,"Rick Robles, Dr. Pol",2021-09-08,2011,19 Seasons,"Animals & Nature, Docuseries, Family",3
Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",2021-09-03,2021,66 min,"Concert Film, Music",2
Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan",2021-09-03,2019,115 min,"Action-Adventure, Family, Science Fiction",3
TV Show,Alaska Animal Rescue,,Victoria Vosburg,2021-09-01,2019,2 Seasons,"Animals & Nature, Docuseries, Family",3
TV Show,Dug Days,,"Bob Peterson, Ed Asner, Jordan Nagai",2021-09-01,2021,1 Season,"Animation, Comedy, Family",3
Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste",2021-08-27,2021,137 min,"Crime, Drama",2
Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",2021-08-27,2007,99 min,"Comedy, Drama, Romance",3
Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",2021-08-27,2021,22 min,"Family, Music, Variety",3
Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",2021-08-27,2014,14 min,"Comedy, Drama, Thriller",3
Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",2021-08-27,2007,85 min,"Action-Adventure, Family, Parody",3
TV Show,Dr. K's Exotic Animal ER,,"Dr. Susan Kelleher, Art Edmonds",2021-08-25,2014,9 Seasons,"Animals & Nature, Docuseries, Family",3
TV Show,Gigantosaurus,,"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes",2021-08-25,2018,2 Seasons,"Action-Adventure, Animation, Kids",3
TV Show,Life Below Zero: Next Generation,,Mocean Melvin,2021-08-25,2020,2 Seasons,"Action-Adventure, Animals & Nature, Docuseries",3
Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund",2021-08-20,2006,104 min,"Action-Adventure, Family, Fantasy",3
TV Show,Growing Up Animal,,Tracee Ellis Ross,2021-08-18,2021,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington",2021-08-13,2005,106 min,"Action-Adventure, Family, Science Fiction",3
Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",2021-08-13,2000,105 min,"Action-Adventure, Family, Science Fiction",3
TV Show,America's Funniest Home Videos: Animal Edition,,Alfonso Ribeiro,2021-08-11,2021,1 Season,Reality,1
TV Show,Chicken Squad,,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",2021-08-11,2021,1 Season,"Animation, Kids, Police/Cop",3
TV Show,Disney Presents Goofy in How to Stay at Home,,"Bill Farmer, Corey Burton",2021-08-11,2021,1 Season,"Animation, Comedy, Family",3
TV Show,Gabby Duran And The Unsittables,,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",2021-08-11,2018,2 Seasons,"Comedy, Family, Science Fiction",3
TV Show,What If...?,,,2021-08-11,2021,1 Season,"Action-Adventure, Animation, Anthology",3
Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",2021-08-06,2011,88 min,"Action-Adventure, Comedy, Family",3
Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",2021-08-06,2012,92 min,"Comedy, Coming of Age, Family",3
Movie,Killer Shark vs Killer Whale,,Edward Marcoux,2021-08-06,2021,44 min,"Animals & Nature, Documentary",2
Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",2021-08-06,1993,126 min,"Comedy, Drama",2
TV Show,Cesar Millan: Better Human Better Dog,,Dustin Rubin,2021-08-04,2021,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,,,2021-08-04,2020,2 Seasons,"Animation, Anthology, Family",3
Movie,Built for Mars: The Perseverance Rover,Mark J Davis,Steven French,2021-07-30,2021,88 min,Documentary,1
Movie,Garfield,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",2021-07-30,2004,82 min,"Comedy, Family",2
TV Show,Chip 'n' Dale: Park Life,,"Matthew Géczy, Kaycie Chase, Bill Farmer, Sylvain Caruso",2021-07-28,2021,1 Season,"Animation, Buddy, Comedy",3
TV Show,Critter Fixers: Country Vets,,Sullivan Jones,2021-07-28,2020,2 Seasons,"Animals & Nature, Docuseries, Family",3
TV Show,Disney Junior T.O.T.S.,,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",2021-07-28,2018,2 Seasons,"Animation, Buddy, Kids",3
TV Show,Mickey Mouse Funhouse,,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille, Harvey Guillén",2021-07-28,2021,1 Season,"Animation, Kids",2
TV Show,Minnie's Bow-Toons: Party Palace Pals,,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",2021-07-28,2021,1 Season,"Animation, Kids",2
TV Show,Turning the Tables with Robin Roberts,,Robin Roberts,2021-07-28,2021,1 Season,Talk Show,1
Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah",2021-07-23,2006,94 min,"Animation, Comedy, Family",3
Movie,Playing with Sharks,,"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall",2021-07-23,2021,91 min,"Animals & Nature, Biographical, Documentary",3
Movie,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,2021-07-23,2020,44 min,"Animals & Nature, Documentary",2
Movie,Shark vs. Whale,,Ted Stewart,2021-07-23,2020,44 min,"Animals & Nature, Documentary",2
Movie,Stuntman,Kurt Mattila,Eddie Braun,2021-07-23,2021,87 min,Documentary,1
Movie,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe",2021-07-23,2013,88 min,"Action-Adventure, Family, Fantasy",3
Movie,What the Shark?,,Robert Davi,2021-07-23,2020,44 min,"Animals & Nature, Documentary",2
TV Show,Behind the Attraction,,Paget Brewster,2021-07-21,2021,1 Season,"Docuseries, Family",2
TV Show,Disney The Owl House,,"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman",2021-07-21,2020,2 Seasons,"Action-Adventure, Animation, Anime",3
TV Show,Meet Spidey and His Amazing Friends (Shorts),,"Ben Valic, Melanie Minichino",2021-07-21,2021,1 Season,"Action-Adventure, Animation, Kids",3
TV Show,Mission Force One,,"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker",2021-07-21,2017,1 Season,"Action-Adventure, Animation, Kids",3
TV Show,Turner & Hooch,,"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar",2021-07-21,2021,1 Season,"Action-Adventure, Buddy, Comedy",3
