type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",2021-11-26,2016,23 min,"Animation, Family",2
Movie,Ernest Saves Christmas,John Cherry,"Jim Varney, Noelle Parker, Douglas Seale",2021-11-26,1988,91 min,Comedy,1
Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",2021-11-26,2011,23 min,"Animation, Comedy, Family",3
Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",2021-11-26,2021,41 min,Musical,1
TV Show,The Beatles: Get Back,,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",2021-11-25,2021,1 Season,"Docuseries, Historical, Music",3
Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau, Vincent Cassel",2021-11-24,2021,94 min,"Biographical, Documentary",2
TV Show,Hawkeye,,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",2021-11-24,2021,1 Season,"Action-Adventure, Superhero",2
TV Show,Port Protection Alaska,,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",2021-11-24,2015,2 Seasons,"Docuseries, Reality, Survival",3
TV Show,Secrets of the Zoo: Tampa,,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",2021-11-24,2019,2 Seasons,"Animals & Nature, Docuseries, Family",3
Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",2021-11-19,2008,45 min,"Comedy, Family, Musical",3
Movie,Adventure Thru the Walt Disney Archives,John Gleim,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",2021-11-19,2020,59 min,Documentary,1
Movie,Puppy for Hanukkah,,,2021-11-19,2020,4 min,"Comedy, Family, Music",3
Movie,The Pixar Story,Leslie Iwerks,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",2021-11-19,2007,91 min,"Documentary, Family",2
TV Show,"Dr. Oakley, Yukon Vet",,"Dr. Michelle Oakley, Zachary Fine",2021-11-17,2013,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries",3
Movie,America the Beautiful,,Michael B. Jordan,2021-11-12,2021,2 min,Animals & Nature,1
Movie,Baymax!,,,2021-11-12,2021,1 min,Animation,1
Movie,Ciao Alberto,McKenna Harris,"Jack Dylan Grazer, Marco Barricelli",2021-11-12,2021,8 min,"Animation, Comedy, Family",3
