type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,Ali,,,2021-10-01,2001,157 min,"Black Stories, Drama, History",3
TV Show,Asylum,,,2021-10-01,2021,1 Season,Documentaries,1
TV Show,Big Sky,,,2021-10-01,2020,2 Seasons,"Crime, Drama",2
TV Show,Bite Size Halloween,,,2021-10-01,2020,2 Seasons,Horror,1
Movie,Blippi's Spooky Spell Halloween,,,2021-10-01,2021,41 min,Kids,1
Movie,Boxcar Bertha,,,2021-10-01,1972,89 min,"Crime, Drama",2
TV Show,Cake,,,2021-10-01,2019,5 Seasons,Comedy,1
Movie,Cedar Rapids,,,2021-10-01,2011,87 min,Comedy,1
Movie,Chasing Papi,,,2021-10-01,2003,80 min,"Comedy, Drama, Romance",3
Movie,Class,,,2021-10-01,1983,99 min,"Comedy, Drama",2
Movie,Clifford,,,2021-10-01,1994,90 min,"Comedy, Family, Kids",3
Movie,Clockstoppers,,,2021-10-01,2002,94 min,"Action, Adventure, Comedy",3
Movie,Code 46,,,2021-10-01,2004,93 min,"Drama, Romance, Science Fiction",3
Movie,Crimson Tide,,,2021-10-01,1995,116 min,"Drama, Horror, Thriller",3
Movie,Date Night Extended Version,,,2021-10-01,2010,102 min,"Action, Adventure, Comedy",3
Movie,Dead of Winter,,,2021-10-01,1987,101 min,"Horror, Thriller",2
Movie,Diary of a Wimpy Kid: Rodrick Rules,,,2021-10-01,2011,100 min,"Comedy, Family, Kids",3
Movie,"Double, Double, Toil and Trouble",,,2021-10-01,1993,97 min,"Adventure, Family, Kids",3
Movie,Dr. No,,,2021-10-01,1962,110 min,"Action, Adventure",2
Movie,Edge of the World,,,2021-10-01,2021,104 min,"Adventure, Drama, History",3
Movie,Escape from Alcatraz,,,2021-10-01,1979,112 min,"Action, Crime, Drama",3
Movie,Exorcist: The Beginning,,,2021-10-01,2004,113 min,Horror,1
Movie,Flatliners,,,2021-10-01,1990,114 min,"Drama, Horror, Science Fiction",3
Movie,From Russia With Love,,,2021-10-01,1964,115 min,"Action, Adventure, Classics",3
Movie,GoldenEye,,,2021-10-01,1995,130 min,"Action, Adventure, Thriller",3
Movie,Goldfinger,,,2021-10-01,1965,110 min,"Action, Adventure, Classics",3
Movie,Happy Feet,,,2021-10-01,2006,101 min,"Action, Adventure, Comedy",3
Movie,Happy Feet Two,,,2021-10-01,2011,100 min,"Adventure, Comedy, Family",3
Movie,House of Games,,,2021-10-01,1987,102 min,Thriller,1
Movie,Intersection,,,2021-10-01,1994,99 min,"Drama, Romance",2
Movie,License to Kill,,,2021-10-01,1989,133 min,"Action, Adventure",2
Movie,Light It Up,,,2021-10-01,1999,99 min,"Black Stories, Drama, LGBTQ+",3
Movie,Lost In Space,,,2021-10-01,1998,130 min,"Action, Adventure, Science Fiction",3
Movie,Mad Max,,,2021-10-01,1979,93 min,"Action, Adventure, Science Fiction",3
Movie,Madhouse,,,2021-10-01,2004,91 min,"Horror, Thriller",2
Movie,Maze,,,2021-10-01,2017,,"Action, Adventure, Crime",3
Movie,My Best Friend's Wedding,,,2021-10-01,1997,105 min,"Comedy, Romance",2
